POINT;EXOGRAS;EXOSCRU;MATPLA;NATFOR;NATGRAS;NATSCRU;YOUPLA;SHA500;ALTI;VH
1;76.92;0;1.62;0;0;0;0;0.100467166;210;8
2;67.16;11.36;0;0;0;0;0;0.413362728;226;2
3;67.16;11.36;0;0;0;0;0;0.413362728;225;4
4;29.31;0;49.22;0;0;0;0;0.660654027;231;4
5;31.98;0;46.54;0;0;0;0;0.675855047;233;2
8;60.82;0;16.83;0;0;0;0.89;0.578864828;214;8
9;21.85;0;38.05;0;0;0;18.63;1.048333629;184;8
10;0;0;37.64;0;0;0;40.88;0.692295606;184;8
11;25.78;0;51.57;0;0;0;1.19;0.705356356;206;15
12;27.74;0;38.2;0;0;0;12.59;1.011613564;205;15
13;15.45;0;29.41;0;0;0;33.66;1.050820064;188;4
14;6.22;0;60.61;0;0;0;11.72;0.684722743;205;15
15;2.23;0;68.5;0;0;0;7.8;0.449705852;207;25
16;29.56;0;21.25;0;0;0;27.72;1.089059033;194;25
17;0;0;34.43;0;0;0;44.09;0.685560278;195;15
18;0;0;45.22;0;0;0;33.32;0.681624434;194;25
19;0;0;78.54;0;0;0;0;0;204;0
20;15.39;0;54.54;0;0;0;8.59;0.814608549;200;15
21;24.9;0;25.21;0;0;0;28.42;1.096788575;180;4
51;1.38;0;28.76;48.33;0;0;0;0.737443342;442;25
52;0;0;34.65;43.82;0;0;0;0.68630343;458;25
53;0;1.16;20.11;57.23;0;0;0;0.641558082;487;15
54;0;0.24;31.72;46.56;0;0;0;0.693755791;459;15
57;6.17;0;40.93;31.41;0;0;0;0.90598051;486;15
58;26.26;0;52.25;0;0;0;0;0.637305803;393;25
59;16.26;0;62.23;0;0;0;0;0.510169691;443;15
60;11.62;0;66.9;0;0;0;0;0.419202741;452;15
61;30.83;0;47.7;0;0;0;0;0.669892023;419;25
62;0;3.65;58.53;8.86;0;7.51;0;0.832400795;609;8
73;9.94;0;68.62;0;0;0;0;0.3797319;114;15
74;0;0;70.52;8.01;0;0;0;0.329453669;109;8
75;19.69;0;58.97;0;0;0;0;0.56268404;207;8
76;0;0;78.54;0;0;0;0;0;170;15
77;9.7;0;68.52;0;0;0;0;0.374837665;293;15
78;14.69;0;64.18;0;0;0;0;0.480748154;161;25
79;15.06;17.47;37.35;3.81;1.52;0;0;1.238669094;434;25
81;0.04;0;78.45;0;0;0;0;0.004373343;229;8
82;11.65;4.29;0;49.89;12.97;0;0;1.027443914;686;2
84;38.57;0;0;24.27;0;15.34;0;1.031255532;278;15
85;0;0;0;32.19;6.98;39.38;0;0.926841844;371;8
87;1.59;0;0;3.67;13.92;59.26;0;0.740962399;326;8
88;27.23;0;0.72;0;3.45;47.03;0;0.85442971;216;8
89;33.48;0;0;7.85;11.89;25.3;0;1.244441303;349;4
90;38.75;0;0.8;15.2;0;23.51;0;1.074449159;201;8
91;55.33;0;0;18.19;4.85;0;0;0.756979782;494;8
92;49.9;0;0;22.31;6.2;0;0;0.845874635;410;4
95;1.01;0;0;31.06;42.7;3.83;0;0.90155724;413;0
96;44.15;0;0;29.57;4.8;0;0;0.862358881;354;4
97;33.63;0;0;31.56;11.57;1.57;0;1.090133459;236;4
98;35.96;0;0;24.37;9.19;8.83;0;1.218072161;213;4
99;33.33;0;0;40.19;0;0;5.12;0.88473668;679;15
100;35.14;0;0;42.61;0.07;0.03;0.65;0.740418783;710;15
101;13.33;0;0;4.94;0;0;60.13;0.678928616;430;4
102;21.23;0;7.88;6.57;0;0;42.84;1.122502668;432;25
104;12.7;0;0;8.69;0;0;56.87;0.771152102;363;8
105;9.88;0;36.91;15.72;0;0;15.87;1.261308203;283;15
106;23.62;0;52.6;2.16;0;0;0;0.728104166;206;8
107;13.45;0;59.25;5.76;0;0;0;0.706123337;368;15
108;34;7.22;0;37.39;0;0;0;0.935247937;731;4
109;54.48;1.01;0;23.04;0;0;0;0.669429409;708;8
111;13.35;0;30.8;11.64;0;13.44;7.6;1.562959149;122;4
112;36.9;0;24.51;5.88;0;3.08;6.69;1.331854284;109;25
113;41.7;0;5.35;11.55;0;15.06;4.76;1.288070896;200;4
