"APCR"	"ARAD"	"ARAG"	"BRCI"	"CAMA"	"CARU"	"CEAR"	"CLSE"	"COAR"	"COCR"	"COOE"	"COPA"	"EUAU"	"EVAR"	"GORH"	"HEMO"	"HISE"	"HIST"	"LABO"	"LAME"	"LIRE"	"LYAL"	"LYPH"	"LYTI"	"MAJU"	"MEAT"	"MECI"	"MEPH"	"MIDR"	"NEQU"	"OCVE"	"PAAE"	"PIBR"	"PIRA"	"PLAR"	"PLID"	"POIC"	"PYTI"	"SAIL"	"THSY"	"VAAT"	"VACA"
"A17"	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
"A1"	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0
"A11"	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0
"A12"	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0
"A3"	0	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1
"A6"	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0
"A2"	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0
"A10"	0	0	0	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0
"A15"	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A16"	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"A4"	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1
"A13"	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0
"A28"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1
"A5"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0
"A22"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"A32"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0
"A33"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0
"A14"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"A7"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
"A9"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0
"A27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0
"A24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
"A25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
"A26"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
"A29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
"A8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"A18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"A19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A20"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A23"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"A30"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
"A31"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
