"h_strate_arboree"	"cover_strate_arboree"	"cover_strate_arbustive"	"cover_strate_herbacee"	"dune_lande"	"foret"
"A17"	12.5	5	30	60	12	87
"A1"	17.4	70	50	30	5.6	94.3
"A11"	11.88	45	81	80	14.2	84.9
"A12"	12.54	60	20	95	5.1	94.9
"A3"	10.42	30	61	15	6.3	93.7
"A6"	19.675	75	50	100	7.8	92.3
"A2"	13.06	75	32	100	10.7	89.3
"A10"	13.92	50	15	40	9	86.3
"A15"	13.36	50	63	10	7.3	92.7
"A16"	11.26	50	20	5	50.3	47.8
"A4"	11.64	65	10	2	47.6	48.5
"A13"	13	35	16	50	9.7	90.3
"A28"	9.5	30	15	5	34.9	49.9
"A5"	9.14	0	50	10	38.5	48.6
"A22"	12.46	0	50	5	28	49.3
"A32"	10.6	0	40	5	27.4	52
"A33"	12.02	20	36	5	21.8	48.4
"A14"	9.68	0	40	10	24	49.9
"A7"	9.52	0	35	45	24.9	50.4
"A9"	11.08	35	25	10	23.2	48.4
"A27"	8.6	3	80	5	16.2	50
"A24"	12.86	35	20	40	11.9	87
"A25"	6.04	3	91	5	16.8	49.3
"A26"	12.54	0	70	5	17.3	47.5
"A29"	12.48	5	71	5	18.4	46.2
"A8"	9.94	5	65	5	16.8	53.4
"A18"	11.68	30	5	75	11.9	88
"A19"	14.36	45	5	60	23.7	76.3
"A20"	9.5	15	31	85	9.9	87.2
"A23"	17.94	20	53	70	32	66.6
"A30"	17.64	25	91	85	21.2	77.8
"A31"	17.18	35	60	80	8.4	91.7
