"PODMUR"	"TIMLEP"	"RHISCA"	"PODLIO"	"NATMAU"	"ZOOVIV"	"LACAGI"	"MALMON"	"TARMAU"	"HIEVIR"	"ANGFRA"	"EMYORB"	"CHASTR"	"LACBIL"	"NATNAT"	"CORAUS"	"ZAMLON"	"CORGIR"	"PSAEDW"	"PSAALG"
"M1012"	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1
"M1014"	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1
"M1015"	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1
"M1053"	0	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1
"M1094"	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1
"M1095"	0	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1
"M110"	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
"M1134"	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1
"M1168"	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0
"M1173"	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1
"M1210"	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0
"M1213"	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1
"M1214"	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1
"M1216"	0	1	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0
"M1249"	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0
"M1251"	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	0	1
"M1253"	1	0	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1
"M1289"	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0
"M1292"	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1
"M1296"	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1
"M1331"	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
"M1335"	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
"M1373"	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0
"M150"	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
"M191"	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0
"M266"	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0
"M267"	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
"M268"	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
"M269"	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0
"M305"	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0
"M306"	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0
"M311"	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"M347"	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0	0	0
"M350"	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0
"M377"	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0
"M379"	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0
"M380"	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0
"M381"	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0
"M388"	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0
"M389"	1	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0
"M390"	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0
"M418"	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0
"M420"	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0
"M424"	1	1	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	0	0	0
"M428"	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0
"M430"	1	0	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0
"M459"	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0
"M464"	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0
"M465"	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0
"M467"	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0
"M468"	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0
"M469"	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0
"M470"	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
"M500"	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0
"M502"	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0
"M505"	1	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0
"M506"	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0
"M509"	0	1	0	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0
"M510"	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0
"M590"	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0
"M620"	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0
"M621"	1	0	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1
"M622"	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0
"M624"	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0
"M625"	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	1	0	1
"M627"	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0
"M629"	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0
"M631"	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0
"M661"	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0
"M663"	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0
"M664"	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1
"M668"	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	1	0	0
"M671"	1	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1
"M699"	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0
"M700"	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0
"M701"	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0
"M702"	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1
"M704"	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1
"M706"	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	0
"M709"	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0
"M738"	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0
"M739"	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0
"M744"	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1
"M745"	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	1	1	1
"M750"	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0
"M784"	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1
"M787"	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0
"M788"	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0
"M815"	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0
