"";"Nom";"Annee";"Abroutissement";"Densite_lin";"Frequentation";"Altitude";"Pente";"Tirs";"X";"Y";"fabr";"lfrequentation";"resid.gam";"resid.gam.spat"
"4";"HAUTES BAUGES";2017;0;11,0769128799438;16161;858,840270996094;8,07840061187744;1;948280,670071396;6509674,99960824;"0";9,69041808679339;-1,28257113102725;-1,22390324651022
"5";"HAUTES BAUGES";2017;0;5,42837047576904;101;1089,64465332031;26,2792987823486;2;947069,418384437;6508014,91491254;"0";4,62497281328427;-1,05441708851434;-1,16556566051829
"8";"HAUTES BAUGES";2017;1;9,22071266174316;9791;1206,4365234375;12,8624172210693;1;952928,373005436;6511158,58563777;"1";9,18932100475211;0,897376497930313;0,893363825013958
"15";"HAUTES BAUGES";2017;0;5,42837047576904;101;1089,64465332031;26,2792987823486;2;947054,716663772;6508163,91007551;"0";4,62497281328427;-1,05441708851434;-1,1540101001939
"21";"HAUTES BAUGES";2017;0;4,247802734375;38;1095,5439453125;22,193359375;0;950943,527975812;6510394,38888712;"0";3,66356164612965;-1,09801726506797;-1,5072510927412
"26";"HAUTES BAUGES";2017;0;4,247802734375;38;1095,5439453125;22,193359375;0;951070,036379796;6510466,23382983;"0";3,66356164612965;-1,09801726506797;-1,51505768120518
"32";"HAUTES BAUGES";2017;0;5,16502666473389;1042;1011,68389892578;14,7505464553833;0;948308,201402021;6512637,15133858;"0";6,94985645500077;-1,06454999456708;-1,01723112489099
"34";"HAUTES BAUGES";2017;0;12,6274766921997;12925;1084,88916015625;21,8647499084473;2;949599,546017065;6508984,23036941;"0";9,46699606582284;-1,02883225372371;-1,22926495381561
"45";"HAUTES BAUGES";2017;0;10,8697175979614;2317;1002,83947753906;16,5494346618652;0;949383,588912861;6509430,69952565;"0";7,7484600238997;-1,2695215520088;-1,3594811292706
"51";"HAUTES BAUGES";2017;0;6,61837816238403;3872;996,706848144531;15,0177440643311;0;950307,523920287;6509981,24149304;"0";8,26178467951475;-1,1149831113701;-1,34196267967315
"60";"HAUTES BAUGES";2017;1;9,87056255340576;6462;1360,04699707031;25,4432601928711;1;950165,995123836;6509094,24560781;"1";8,7738488852629;0,903643971604079;1,11144017174194
"86";"HAUTES BAUGES";2017;0;10,0251512527466;3699;881,320129394531;11,6062479019165;0;948569,936434654;6509619,55291291;"0";8,21608809863232;-1,31898368316806;-1,29973161904994
"95";"HAUTES BAUGES";2017;0;7,05033874511719;7380;998,349792480469;20,0973834991455;1;949854,491762726;6509815,29698962;"0";8,90666440977005;-1,00140593420812;-1,19763036590805
"98";"HAUTES BAUGES";2017;0;4,29316663742065;17740;1222,51477050781;12,9585132598877;0;948618,451415545;6508177,40787103;"0";9,78363362406065;-1,16166977507649;-1,188316415944
"105";"HAUTES BAUGES";2017;0;3,43664646148682;9019;1351,28637695312;22,1925430297852;0;952256,645754632;6511816,80302697;"0";9,10719961305667;-1,12365126791038;-1,20497069689982
"109";"HAUTES BAUGES";2017;1;10,252911567688;5285;809,828125;5,89496946334839;0;947983,454110486;6509967,3058336;"1";8,57281709516423;0,950220938248145;1,07771712521158
"115";"HAUTES BAUGES";2017;0;5,12442588806152;962;1088,81799316406;21,8352642059326;0;943978,934245867;6505207,05510013;"0";6,87005341179813;-1,01746785029908;-1,02761914507234
"129";"HAUTES BAUGES";2017;0;7,99813365936279;0;941,192504882812;27,7508068084717;2;944419,987353631;6506765,87156621;"0";0;-1,33431620817333;-1,27723530362871
"130";"HAUTES BAUGES";2017;1;2,84939336776733;11365;1037,67578125;7,64127445220947;0;951307,713928481;6510221,39873911;"1";9,33838172185707;1,15533538069048;0,968108167560259
"133";"HAUTES BAUGES";2017;1;6,57486772537231;3081;830,079406738281;19,9777889251709;0;944981,291156452;6507554,33332486;"1";8,03333401588006;1,48797505139973;1,39926685543994
"139";"HAUTES BAUGES";2017;1;6,68483734130859;2111;1078,4404296875;25,9743347167969;0;949526,48661923;6510012,95274932;"1";7,65539064482615;1,23437944871382;1,17284586486856
"154";"HAUTES BAUGES";2017;1;14,1288137435913;4055;826,951477050781;7,56194305419922;3;947333,729901218;6510512,43009863;"1";8,30795254527102;1,2865958621451;1,20771743552265
"155";"HAUTES BAUGES";2017;1;6,44338321685791;8841;1159,78833007812;24,3776187896729;0;948626,615649175;6508660,91028948;"1";9,08726837438619;1,25097935828533;1,24241378046116
"163";"HAUTES BAUGES";2017;1;1,6944055557251;100;1161,5478515625;22,2462882995606;0;947716,825954993;6512881,03859328;"1";4,61512051684126;1,16818719322307;1,4439384396027
"165";"HAUTES BAUGES";2017;0;7,85277700424194;1744;850,540771484375;24,8116912841797;1;946018,160125195;6510543,75076886;"0";7,46450983463653;-0,99458519140346;-0,860498339919182
"216";"HAUTES BAUGES";2017;0;6,66600322723389;2837;1362,73229980469;19,469367980957;0;953413,815483875;6511607,00056507;"0";7,95085485771999;-1,35749117812011;-1,47140001547029
"222";"HAUTES BAUGES";2017;0;12,1534004211426;7845;813,132446289063;3,84269642829895;1;947310,666152152;6510270,84212266;"0";8,9677591267695;-1,33223216437404;-1,19801011813841
"228";"HAUTES BAUGES";2017;1;4,52895498275757;17;1564,07958984375;13,5993394851685;6;952485,577078552;6513338,48756167;"1";2,89037175789616;0,926607799010988;0,985542958283254
"259";"HAUTES BAUGES";2017;1;5,6008358001709;12276;987,717163085938;3,55025219917297;0;950687,488134903;6510131,82992257;"1";9,41548287218084;1,03198465706603;0,935878282672173
"260";"HAUTES BAUGES";2017;1;10,7961015701294;6723;926,686096191406;9,09908580780029;0;949676,481032532;6509679,95238284;"1";8,81343849452851;0,971252524078967;0,957805733536623
"274";"HAUTES BAUGES";2017;0;5,41479110717773;984;880,548461914062;24,9071350097656;4;945507,462691425;6509251,29603735;"0";6,89264164117209;-0,747933751020214;-0,821127174127188
"293";"HAUTES BAUGES";2017;1;5,4149956703186;35;1131,734375;25,7166156768799;2;947535,47088706;6508648,33487226;"1";3,58351893845611;1,23727769159084;1,13356303188309
"299";"HAUTES BAUGES";2017;0;12,1534004211426;7845;813,132446289063;3,84269642829895;1;947406,316105155;6510240,0441488;"0";8,9677591267695;-1,33223216437404;-1,20949465990633
"327";"HAUTES BAUGES";2017;0;6,44338321685791;8841;1159,78833007812;24,3776187896729;0;948642,643317227;6508781,66535748;"0";9,08726837438619;-1,10557574178144;-1,10721634828355
"345";"HAUTES BAUGES";2017;0;4,29827690124512;16304;1188,37915039062;18,722728729248;0;948513,594867184;6508299,20490559;"0";9,69922708822342;-0,999412685360643;-1,11274241665804
"367";"HAUTES BAUGES";2017;0;6,67877578735352;316;1024,39978027344;22,9153652191162;1;946874,080270448;6507723,85719897;"0";5,75890177387728;-1,08370633296336;-1,18307485520494
"401";"HAUTES BAUGES";2017;0;4,29827690124512;16304;1188,37915039062;18,722728729248;0;948633,436802929;6508524,97151515;"0";9,69922708822342;-0,999412685360643;-1,10901102181187
"412";"HAUTES BAUGES";2017;0;7,35572576522827;572;937,488647460938;16,2850131988525;1;947537,842295441;6512401,00521005;"0";6,35088571671474;-1,12780818050412;-0,986792975761303
"415";"HAUTES BAUGES";2017;0;3,88986134529114;10343;1085,92883300781;6,44323968887329;0;952002,170368291;6510229,39860374;"0";9,24416192045169;-1,26429595515773;-1,50417556091938
