"alti_median"	"temp_season_median"	"temp_warmqrt_median"	"prec_season_median"	"prec_dryqrt_median"	"surf_urbain"	"surf_agri_ext"	"surf_foret"	"surf_maquis"
"M1012"	141.5	57.2	21	21.5	122	0.03979745	0.15788368	0.07226694	0.35049915
"M1014"	82	57.17	21.8	24	108.5	0.05550609	0.12443128	0.08903633	0.13797681
"M1015"	44	57.095	22	26	102	0.03248964	0.09117211	0.06213507	0.11390513
"M1053"	228.5	57.035	21	21	124	0.00511381	0.11794286	0.16401223	0.4577822
"M1094"	302	56.715	20.8	22	127	0	0.06380406	0.30272928	0.45585838
"M1095"	216	56.75	21.4	25	112	0.00610659	0.07710762	0.06549227	0.62081993
"M110"	368	63.07	19.1	17	170	0.09669932	0.41589796	0.2175648	0.069548
"M1134"	310.5	56.525	20.9	21	128	0.00538033	0.06154056	0.33291862	0.4212338
"M1168"	1046	55.66	16.5	15	199	0.00691051201249584	0.101466765210458	0.521697547595245	0.186327702196162
"M1173"	301.5	56.655	20.95	20	138	0.00786452	0.09293028	0.2323667	0.32261084
"M1210"	1247	54.81	15.8	15	212	0	0.027956554075487	0.746102913157537	0.218267748494205
"M1213"	313	56.585	20.95	20	141	0.00294353	0.1092424	0.18605151	0.38749926
"M1214"	153	56.495	21.9	24.5	115	0.04482131	0.15277145	0.04274022	0.3074794
"M1216"	11	55.86	22.8	32	88	0.22210552	0.58807738	0	0
"M1249"	1650	54	13.5	13	245	0.00782894345406917	0.115236164775781	0.617415445330417	0.166409687400467
"M1251"	887	55.695	17.7	16	190	0.00720344	0.06336974	0.40756095	0.51201171
"M1253"	360.5	56.425	20.8	19	152	0.02820086	0.08186829	0.42423155	0.30770233
"M1289"	1724	53.865	13.25	13.5	250.5	0.04488144	0.03944874	0.63592932	0.14462669
"M1292"	1253	54.205	15.6	15	218.5	0.0067235	0.03795396	0.61303802	0.21534653
"M1296"	39.5	54.97	22.6	30	98	0.10439342	0.27293694	0.11394795	0.08113096
"M1331"	1863	53.265	12.35	14	265	0	0.00662074848683185	0.497857570912134	0.44079646551399
"M1335"	340	55.19	21.2	22.5	144.5	0.027609517540682	0.133267938957149	0.62563820735388	0.184052861197197
"M1373"	805	55.08	18.7	18	187	0.00626067315770892	0.0457748739067689	0.801905064285572	0.101745295914201
"M150"	404	62.85	18.9	17	176	0.02428766	0.51864397	0.3053551	0.00666205
"M191"	146	63.705	20.4	18	178	0.09457513	0.32046047	0.18716161	0.01665104
"M266"	1203	57.175	14.15	16	185	0.00035067	0.00966913	0.51820667	0.2276572
"M267"	809.5	59.69	16.6	18	164	0.01774786	0.03340322	0.60158848	0.22491476
"M268"	688	60.7	17.2	17	172	0.02077684	0.1140995	0.59621565	0.18554175
"M269"	576.5	61.565	18	17	181	0.01220754	0.24530616	0.51871099	0.05217297
"M305"	1180	56.675	14	17	177	0.00266629	0.02910794	0.50268372	0.27138598
"M306"	1244	56.69	13.75	15	191.5	0	0.00723483	0.46126735	0.37017996
"M311"	118.5	63.51	20.7	20	173	0.06728103	0.35850427	0.08654516	0.00955574
"M347"	579	60.64	17.9	18	167	0.01636498	0.0468765	0.64130117	0.21787195
"M350"	196	63.105	20.4	21	173	0.03580633	0.20329129	0.3180078	0.13524977
"M377"	1250	54.55	14	16	182	0.00357992032453196	0.00551259226063593	0.0376109295120619	0.779550448481414
"M379"	1048.5	55.985	15.4	18	155	0	0.29176423	0.43943215	0.10459321
"M380"	1158	55.29	14.4	17	165	0	0.37814682	0.33828777	0.19152905
"M381"	1355.5	54.3	13.1	15	186	0	0.05237891	0.54050553	0.34304063
"M388"	321	62	19.8	20	171	0.03910354	0.16163637	0.19670325	0.29799988
"M389"	478	61.605	18.9	19	183	0.00531497	0.09339033	0.28027205	0.31370768
"M390"	176	63.02	20.6	22	168	0.07062666	0.23470788	0.37580097	0.12244921
"M418"	905.5	56.82	16.6	17	153.5	0.01136717	0.15953167	0.46112088	0.15888508
"M420"	952	56.63	16	17	154.5	0.04369982	0.17444308	0.53893796	0.12200931
"M424"	918	57.56	16.1	17	162	0	0.01267017	0.47638933	0.47256705
"M428"	298.5	62.01	20	21	165	0.02588459	0.16217388	0.36936308	0.34589976
"M430"	86.5	63.08	21.1	24	157	0.15990004	0.27326831	0.230056	0.03370595
"M459"	874	57.12	16.9	17	155	0.00798504	0.2550502	0.35687994	0.29364486
"M464"	680.5	58.735	17.5	18	161	0.00353207	0.01045737	0.72335298	0.21052307
"M465"	393	60.59	19.5	20	160	0.00906664	0.1606618	0.60498518	0.20960083
"M467"	169	61.9	20.8	23	152	0.03903565	0.16751982	0.27529872	0.39346223
"M468"	339	61.71	19.9	22	163	0.00645323	0.07436277	0.57002856	0.25649581
"M469"	326	62.08	19.85	22	164	0.00322143	0.22544112	0.52963707	0.19841633
"M470"	74.5	62.95	21.3	24.5	149	0.04330125	0.21123704	0.29196047	0.03059274
"M500"	943	56.77	16.35	16	163	0.00289472	0.037434	0.30077819	0.56006968
"M502"	1061.5	55.96	15.3	15	174.5	0.0030043	0.00555749	0.48878118	0.41858607
"M505"	343.5	60.55	19.8	21	157	0.00605324	0.03532784	0.74241553	0.19507937
"M506"	205.5	61.23	20.6	23	149	0.01249054	0.14783923	0.21312294	0.42458172
"M509"	165	62.41	20.8	24	149	0.0404615	0.08845962	0.32880975	0.23720516
"M510"	53	62.82	21.5	25	142	0.10427629	0.2452201	0.11137913	0.03577936
"M590"	38.5	62.41	21.7	27.5	128	0.05244464	0.2662132	0.22724991	0.03779009
"M620"	1073	55.255	15.5	14	188	0.00612238320641566	0.0116300152346938	0.720552581221741	0.243874362427912
"M621"	1147	54.775	14.7	14	194	0.00430486	0	0.80099541	0.17645779
"M622"	622.5	58.05	18.5	17	164	0.00351331	0.03843435	0.76817964	0.18987272
"M624"	266	59.8	20.5	23	140	0.01858589	0.13084363	0.67859273	0.09844934
"M625"	141.5	60.39	21.1	26	132	0.17890226	0.32246783	0.18197095	0.09053755
"M627"	234	60.8	20.6	26	138	0.01321685	0.12384347	0.49460102	0.15747897
"M629"	180.5	61.475	21	27	132	0.04357141	0.04726802	0.43703287	0.04336038
"M631"	41	62.165	21.6	28	123	0.07648874	0.20588327	0.072979	0.02375539
"M661"	523	58.065	19	18	156.5	0.04831564	0.0983902	0.68947014	0.13194715
"M663"	361	58.97	19.8	22	144	0.02064085	0.05968983	0.63543167	0.20578867
"M664"	175.5	59.655	21	26	131	0.00605333	0.16092933	0.37237391	0.25910457
"M668"	109	61.2	21.4	30	124	0.0792928	0.13555878	0.35197974	0.15008881
"M671"	23	61.635	21.7	29	116	0.31812626	0.24252775	0.06386704	0.04417869
"M699"	742	57.27	18.2	16	169	0.00766141974103861	0.0839772724837866	0.198173253078938	0.593035330389275
"M700"	696	57.52	18.4	17	164	0	0.0745221	0.18745798	0.69176277
"M701"	569.5	57.85	18.95	18.5	155	0	0.05155186	0.32832116	0.60143306
"M702"	227	58.895	20.65	24	133	0.0419651	0.09850957	0.38580496	0.4003978
"M704"	153	59.255	21	27	128	0.03036071	0.13518993	0.25893277	0.43184731
"M706"	141	60.05	21.2	29	124	0.03882051	0.06003338	0.29934622	0.24215911
"M709"	43.5	61.14	21.8	31	114	0.05815156	0.29594232	0.0495191	0.06555724
"M738"	685.5	57.48	18.7	17	163	0	0.097440132378065	0.55246511742891	0.18779050230619
"M739"	695	57.39	18.5	17	164	0	0.10521915	0.34604888	0.36387576
"M744"	124.5	58.91	21.1	28	124	0.01776986	0.08529986	0.29436345	0.35357046
"M745"	64	59.25	21.4	30	119	0.07168083	0.11540868	0.16266997	0.10493271
"M750"	8.5	60.635	21.9	32	106	0.06422123	0.22805324	0.11402099	0.09216279
"M784"	93	58.58	21.2	30	120	0.09476859	0.12914871	0.16662641	0.2076907
"M787"	54	59.585	21.6	32.5	111	0.07548813	0.13818112	0.04454318	0.01925832
"M788"	28	59.83	21.9	33	106	0.05071912	0.24453771	0.04104252	0.00684014
"M815"	945	55.91	16.9	14	195	0	0.0304381930983864	0.626439257071267	0.215109625606238
"M826"	4	58.655	21.7	33	108	0.02794361	0.24403644	0.00452498	1.291e-05
"M828"	3	59.41	21.9	34	102	0	0.05510665	0.01261529	0.01807171
"M831"	22	59.785	21.7	33	95	0.04643801	0.0644528	0.03746353	0.33348853
"M854"	892	56.15	17.3	14	194	0	0.0359746517251916	0.73236136767569	0.0676529036529688
"M859"	149.5	57.665	21.3	25	116	0.04094169	0.05832847	0.24885342	0.25690691
"M866"	1	58.11	21.7	34	105	0.0628326122254298	0.0576257857587844	0.0105970916468756	0.00305463493755579
"M870"	1	59.06	21.8	34	93	0.00341625	0.10599148	0.01690198	0.00717934
"M897"	120.5	57.55	21.6	24	112.5	0.01516757	0.1234157	0.17409339	0.27583811
"M911"	1	58.82	21.8	35	87	0.0160478148065013	0.000641587250268258	0.0103905456507415	0.316541844084966
"M933"	410.5	57.27	20	18	143.5	0.00437939	0.14873054	0.51488395	0.23045858
"M935"	204.5	57.45	21.2	22	118.5	0.00827999	0.13016499	0.23883116	0.29811422
"M969"	147.5	57.51	20.8	18	138	0.0371199	0.19737625	0.02885765	0
"M971"	143.5	57.36	20.9	21	124	0.09142708	0.18416518	0.08665325	0.13904994
"M972"	148.5	57.36	21	22	121	0.02678707	0.18395241	0.07907745	0.13530663
