"time_z12"	"chemical"	"place_type"	"place"	"nb_indiv"
13	"KRILL"	"Breeding"	"Madagascar"	3
7	"CLAY"	"Breeding"	"Madagascar"	2
1	"CLAY"	"Breeding"	"Madagascar"	2
0	"KRILL"	"Breeding"	"Madagascar"	1
7	"CLAY"	"Breeding"	"Madagascar"	2
10	"KRILL"	"Breeding"	"Madagascar"	4
10	"CLAY"	"Breeding"	"Madagascar"	3
12	"DMS"	"Feeding"	"Iceland"	1
1	"CTL"	"Feeding"	"Iceland"	1
13	"KRILL"	"Breeding"	"Madagascar"	4
7	"KRILL"	"Breeding"	"Madagascar"	4
19	"KRILL"	"Breeding"	"Madagascar"	1
4	"CTL"	"Feeding"	"Iceland"	1
4	"CLAY"	"Breeding"	"Madagascar"	1
4	"CTL"	"Breeding"	"Madagascar"	2
7	"CTL"	"Breeding"	"Madagascar"	2
7	"CTL"	"Breeding"	"Madagascar"	1
4	"DMS"	"Breeding"	"Madagascar"	2
7	"DMS"	"Breeding"	"Madagascar"	1
16	"KRILL"	"Breeding"	"Madagascar"	2
13	"KRILL"	"Breeding"	"Madagascar"	2
6	"KRILL"	"Feeding"	"Antarctica"	1
7	"CTL"	"Breeding"	"Madagascar"	2
10	"KRILL"	"Feeding"	"Antarctica"	1
0	"KRILL"	"Feeding"	"Antarctica"	1
7	"KRILL"	"Feeding"	"Antarctica"	4
4	"DMS"	"Breeding"	"Madagascar"	2
22	"CLAY"	"Feeding"	"Antarctica"	2
4	"DMS"	"Breeding"	"Madagascar"	1
10	"DMS"	"Breeding"	"Madagascar"	2
4	"DMS"	"Breeding"	"Madagascar"	2
10	"DMS"	"Breeding"	"Madagascar"	3
13	"CTL"	"Breeding"	"Madagascar"	3
0	"DMS"	"Feeding"	"Iceland"	1
9	"KRILL"	"Feeding"	"Iceland"	1
21	"KRILL"	"Feeding"	"Iceland"	1
21	"KRILL"	"Feeding"	"Iceland"	1
21	"KRILL"	"Feeding"	"Iceland"	1
10	"CLAY"	"Feeding"	"Antarctica"	2
0	"CTL"	"Feeding"	"Iceland"	1
0	"DMS"	"Feeding"	"Iceland"	1
6	"CTL"	"Feeding"	"Iceland"	1
4	"CTL"	"Breeding"	"Madagascar"	1
16	"KRILL"	"Feeding"	"Antarctica"	3
1	"CLAY"	"Feeding"	"Antarctica"	2
0	"CTL"	"Feeding"	"Iceland"	1
0	"DMS"	"Feeding"	"Iceland"	1
0	"CTL"	"Feeding"	"Iceland"	1
0	"CTL"	"Feeding"	"Iceland"	1
21	"KRILL"	"Feeding"	"Iceland"	2
1	"KRILL"	"Breeding"	"Madagascar"	2
9	"KRILL"	"Feeding"	"Antarctica"	2
12	"KRILL"	"Feeding"	"Iceland"	1
9	"KRILL"	"Feeding"	"Iceland"	1
0	"CLAY"	"Feeding"	"Iceland"	1
21	"KRILL"	"Feeding"	"Iceland"	2
0	"CLAY"	"Feeding"	"Iceland"	1
12	"CLAY"	"Feeding"	"Iceland"	1
0	"CLAY"	"Feeding"	"Iceland"	1
0	"CLAY"	"Feeding"	"Iceland"	1
3	"DMS"	"Feeding"	"Iceland"	1
0	"CTL"	"Feeding"	"Iceland"	1
0	"DMS"	"Feeding"	"Iceland"	1
3	"CLAY"	"Feeding"	"Antarctica"	1
0	"KRILL"	"Feeding"	"Iceland"	1
0	"DMS"	"Breeding"	"Madagascar"	2
0	"CTL"	"Feeding"	"Iceland"	1
0	"CTL"	"Feeding"	"Iceland"	1
0	"CTL"	"Feeding"	"Iceland"	1
0	"KRILL"	"Feeding"	"Antarctica"	2
15	"KRILL"	"Feeding"	"Iceland"	1
15	"KRILL"	"Feeding"	"Iceland"	1
3	"CTL"	"Feeding"	"Iceland"	1
3	"DMS"	"Feeding"	"Iceland"	1
0	"DMS"	"Breeding"	"Madagascar"	2
0	"DMS"	"Feeding"	"Iceland"	1
0	"DMS"	"Feeding"	"Iceland"	1
0	"DMS"	"Feeding"	"Iceland"	1
0	"CTL"	"Feeding"	"Iceland"	1
12	"KRILL"	"Feeding"	"Iceland"	1
9	"KRILL"	"Breeding"	"Madagascar"	2
0	"KRILL"	"Feeding"	"Antarctica"	1
0	"CLAY"	"Feeding"	"Iceland"	1
9	"CTL"	"Feeding"	"Iceland"	1
18	"DMS"	"Breeding"	"Madagascar"	1
0	"CLAY"	"Feeding"	"Iceland"	1
0	"DMS"	"Breeding"	"Madagascar"	1
3	"DMS"	"Breeding"	"Madagascar"	1
0	"CLAY"	"Breeding"	"Madagascar"	1
0	"CLAY"	"Breeding"	"Madagascar"	1
0	"CTL"	"Feeding"	"Iceland"	1
0	"DMS"	"Breeding"	"Madagascar"	1
9	"KRILL"	"Breeding"	"Madagascar"	1
18	"DMS"	"Breeding"	"Madagascar"	2
0	"KRILL"	"Feeding"	"Antarctica"	2
0	"CLAY"	"Feeding"	"Iceland"	1
0	"CTL"	"Feeding"	"Iceland"	1
0	"DMS"	"Feeding"	"Iceland"	1
0	"CTL"	"Feeding"	"Iceland"	1
0	"DMS"	"Feeding"	"Iceland"	1
0	"DMS"	"Feeding"	"Iceland"	1
0	"DMS"	"Feeding"	"Iceland"	1
0	"DMS"	"Breeding"	"Madagascar"	2
19	"KRILL"	"Breeding"	"Madagascar"	2
0	"CTL"	"Feeding"	"Iceland"	1
0	"CTL"	"Feeding"	"Iceland"	1
0	"DMS"	"Feeding"	"Iceland"	1
0	"CTL"	"Feeding"	"Iceland"	1
0	"KRILL"	"Feeding"	"Antarctica"	3
0	"KRILL"	"Feeding"	"Iceland"	1
0	"KRILL"	"Feeding"	"Antarctica"	1
0	"KRILL"	"Feeding"	"Iceland"	1
0	"CLAY"	"Breeding"	"Madagascar"	1
