;placette;latitude;longitude;region;domaine;annee;nbpins;nbpinsattac
1;29141;47,95327323;-4,11657592;Grand Ouest cristallin et oceanique;Atlantique;2012;160;2
2;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1991;240;50
3;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1986;250;0
4;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1992;170;35
5;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1990;248;24
6;29141;47,95327323;-4,11657592;Grand Ouest cristallin et oceanique;Atlantique;2009;200;1
7;29141;47,95327323;-4,11657592;Grand Ouest cristallin et oceanique;Atlantique;2010;200;0
8;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;1997;189;10
9;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;1998;189;12
10;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;1999;189;5
11;29141;47,95327323;-4,11657592;Grand Ouest cristallin et oceanique;Atlantique;2011;200;0
12;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;2001;189;8
13;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;2002;189;8
14;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;2003;189;14
15;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;2000;189;15
16;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1988;250;0
17;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1989;250;3
18;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;2007;120;8
19;44141;47,566613;-1,76254862;Grand Ouest cristallin et oceanique;Atlantique;2002;40;1
20;44141;47,566613;-1,76254862;Grand Ouest cristallin et oceanique;Atlantique;2003;40;0
21;44141;47,566613;-1,76254862;Grand Ouest cristallin et oceanique;Atlantique;2004;40;0
22;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1993;170;30
23;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1994;170;1
24;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1995;170;20
25;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1996;170;33
26;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1997;170;21
27;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1998;170;29
28;35051;47,78486632;-1,93714403;Grand Ouest cristallin et oceanique;Atlantique;1987;250;2
29;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;2005;189;27
30;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;2006;189;27
31;29141;47,95327323;-4,11657592;Grand Ouest cristallin et oceanique;Atlantique;2008;200;0
32;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;1994;195;1
33;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;1995;195;7
34;35131;47,72559538;-1,88297081;Grand Ouest cristallin et oceanique;Atlantique;1996;195;17
35;44141;47,566613;-1,76254862;Grand Ouest cristallin et oceanique;Atlantique;1990;55;0
36;44141;47,566613;-1,76254862;Grand Ouest cristallin et oceanique;Atlantique;1991;55;9
37;44141;47,566613;-1,76254862;Grand Ouest cristallin et oceanique;Atlantique;1992;55;29
38;44141;47,566613;-1,76254862;Grand Ouest cristallin et oceanique;Atlantique;1993;55;30
