"";"Nom";"ID_unique";"Annee";"Numero.placette";"Abroutissement";"X";"Y";"Densite_lin";"Frequentation";"Altitude";"Pente";"Tirs";"Nb_spe";"geometry"
"1";"HAUTES BAUGES";19953;2016;"7-092";0;948280,670071396;6509674,99960824;11,0769128799438;16161;858,840270996094;8,07840061187744;1;4;c(948280.670071396, 6509674.99960824)
"2";"HAUTES BAUGES";19946;2014;"7-091";1;947705,986570993;6510116,56787006;11,3224611282349;3830;804,791320800781;2,95817089080811;0;4;c(947705.986570993, 6510116.56787006)
"3";"HAUTES BAUGES";790;2015;"7-145";1;948509,081614437;6508702,88724139;6,44338321685791;8841;1159,78833007812;24,3776187896729;0;4;c(948509.081614437, 6508702.88724139)
"4";"HAUTES BAUGES";19954;2017;"7-092";0;948280,670071396;6509674,99960824;11,0769128799438;16161;858,840270996094;8,07840061187744;1;4;c(948280.670071396, 6509674.99960824)
"5";"HAUTES BAUGES";13294;2017;"7-124";0;947069,418384437;6508014,91491254;5,42837047576904;101;1089,64465332031;26,2792987823486;2;4;c(947069.418384437, 6508014.91491254)
"6";"HAUTES BAUGES";788;2015;"7-143";0;948477,956458715;6508453,37616938;4,26640605926514;15;1350,19738769531;24,4630508422852;0;4;c(948477.956458715, 6508453.37616938)
"7";"HAUTES BAUGES";19937;2016;"7-087";0;950943,527975812;6510394,38888712;4,247802734375;38;1095,5439453125;22,193359375;0;4;c(950943.527975812, 6510394.38888712)
"8";"HAUTES BAUGES";791;2017;"7-157";1;952928,373005436;6511158,58563777;9,22071266174316;9791;1206,4365234375;12,8624172210693;1;4;c(952928.373005436, 6511158.58563777)
"9";"HAUTES BAUGES";789;2013;"7-145";0;948509,081614437;6508702,88724139;6,44338321685791;8841;1159,78833007812;24,3776187896729;0;4;c(948509.081614437, 6508702.88724139)
"10";"HAUTES BAUGES";19952;2015;"7-092";0;948280,670071396;6509674,99960824;11,0769128799438;16161;858,840270996094;8,07840061187744;1;4;c(948280.670071396, 6509674.99960824)
"11";"HAUTES BAUGES";13289;2011;"7-104";1;951846,267761075;6510224,74815914;3,88986134529114;10343;1085,92883300781;6,44323968887329;0;4;c(951846.267761075, 6510224.74815914)
"12";"HAUTES BAUGES";13290;2012;"7-104";1;951846,267761075;6510224,74815914;3,88986134529114;10343;1085,92883300781;6,44323968887329;0;4;c(951846.267761075, 6510224.74815914)
"13";"HAUTES BAUGES";13306;2011;"7-153";1;953413,815483875;6511607,00056507;6,66600322723389;2837;1362,73229980469;19,469367980957;0;4;c(953413.815483875, 6511607.00056507)
"14";"HAUTES BAUGES";787;2010;"7-142";1;948513,594867184;6508299,20490559;4,29827690124512;16304;1188,37915039062;18,722728729248;0;4;c(948513.594867184, 6508299.20490559)
"15";"HAUTES BAUGES";13293;2017;"7-123";0;947054,716663772;6508163,91007551;5,42837047576904;101;1089,64465332031;26,2792987823486;2;4;c(947054.716663772, 6508163.91007551)
"16";"HAUTES BAUGES";1142;2015;"7-097";0;947333,729901218;6510512,43009863;14,1288137435913;4055;826,951477050781;7,56194305419922;3;4;c(947333.729901218, 6510512.43009863)
"17";"HAUTES BAUGES";13291;2013;"7-105";1;952002,170368291;6510229,39860374;3,88986134529114;10343;1085,92883300781;6,44323968887329;0;4;c(952002.170368291, 6510229.39860374)
"18";"HAUTES BAUGES";13292;2013;"7-122";0;947093,007277834;6508317,4441129;6,48564624786377;315;1038,85559082031;24,36594581604;3;4;c(947093.007277834, 6508317.4441129)
"19";"HAUTES BAUGES";19932;2006;"7-087";0;950943,527975812;6510394,38888712;4,247802734375;38;1095,5439453125;22,193359375;0;4;c(950943.527975812, 6510394.38888712)
"20";"HAUTES BAUGES";19930;2010;"7-085";0;949628,819749503;6509830,23100764;6,68483734130859;2111;1078,4404296875;25,9743347167969;0;4;c(949628.819749503, 6509830.23100764)
"21";"HAUTES BAUGES";19938;2017;"7-087";0;950943,527975812;6510394,38888712;4,247802734375;38;1095,5439453125;22,193359375;0;4;c(950943.527975812, 6510394.38888712)
"22";"HAUTES BAUGES";10591;2010;"7-232";1;952485,577078552;6513338,48756167;4,52895498275757;17;1564,07958984375;13,5993394851685;6;4;c(952485.577078552, 6513338.48756167)
