"RG"	"RN"	"UN"	"Poules"	"Jeunes"	"Nichees"	"NAOdjfm"	"Annee"
"Prealpes"	"Chablais"	8210103	13	23	8	0.03	1998
"Prealpes"	"Chablais"	8210103	14	36	10	0.68	1999
"Prealpes"	"Chablais"	8210103	7	9	4	1.73	2000
"Prealpes"	"Chablais"	8210103	15	18	7	-1.04	2001
"Prealpes"	"Chablais"	8210103	24	49	16	0.71	2002
"Prealpes"	"Chablais"	8210103	24	35	9	0.1	2003
"Prealpes"	"Chablais"	8210103	3	0	0	-0.09	2004
"Prealpes"	"Chablais"	8210103	12	22	7	0.46	2005
"Prealpes"	"Chablais"	8210103	20	23	10	-0.93	2006
"Prealpes"	"Chablais"	8210103	18	14	8	1.25	2007
"Prealpes"	"Chablais"	8210109	11	21	5	-0.93	2006
"Prealpes"	"Chablais"	8210109	15	11	6	1.25	2007
"Prealpes"	"Chablais"	8210112	8	12	5	0.68	1999
"Prealpes"	"Chablais"	8210112	17	13	7	1.73	2000
"Prealpes"	"Chablais"	8210112	9	13	4	-1.04	2001
"Prealpes"	"Chablais"	8210112	10	14	5	0.71	2002
"Prealpes"	"Chablais"	8210112	13	18	6	0.1	2003
"Prealpes"	"Chablais"	8210112	19	22	7	-0.09	2004
"Prealpes"	"Chablais"	8210112	13	15	6	0.46	2005
"Prealpes"	"Chablais"	8210112	7	25	5	-0.93	2006
"Prealpes"	"Arve_Giffre"	8210201	5	11	3	0.68	1999
"Prealpes"	"Arve_Giffre"	8210201	4	7	2	1.73	2000
"Prealpes"	"Arve_Giffre"	8210201	7	9	3	-1.04	2001
"Prealpes"	"Arve_Giffre"	8210201	12	15	4	0.71	2002
"Prealpes"	"Arve_Giffre"	8210201	15	22	5	0.1	2003
"Prealpes"	"Arve_Giffre"	8210201	5	16	2	-0.09	2004
"Prealpes"	"Arve_Giffre"	8210201	14	11	5	0.46	2005
"Prealpes"	"Arve_Giffre"	8210201	6	12	3	-0.93	2006
"Prealpes"	"Arve_Giffre"	8210202	9	9	4	1.25	2007
"Prealpes"	"Bornes_Aravis"	8210303	5	1	1	0.79	1997
"Prealpes"	"Bornes_Aravis"	8210303	4	3	1	0.03	1998
"Prealpes"	"Bornes_Aravis"	8210303	1	4	1	0.68	1999
"Prealpes"	"Bornes_Aravis"	8210303	3	2	1	1.73	2000
"Prealpes"	"Bornes_Aravis"	8210303	6	5	2	-1.04	2001
"Prealpes"	"Bornes_Aravis"	8210303	8	18	4	0.71	2002
"Prealpes"	"Bornes_Aravis"	8210303	8	6	3	0.1	2003
"Prealpes"	"Bornes_Aravis"	8210303	3	4	1	-0.09	2004
"Prealpes"	"Bornes_Aravis"	8210303	12	13	4	0.46	2005
"Prealpes"	"Bornes_Aravis"	8210303	7	7	2	-0.93	2006
"Prealpes"	"Bornes_Aravis"	8210304	27	35	13	0.62	1991
"Prealpes"	"Bornes_Aravis"	8210304	29	22	7	1.95	1992
"Prealpes"	"Bornes_Aravis"	8210304	31	20	8	1.92	1993
"Prealpes"	"Bornes_Aravis"	8210304	23	54	14	0.87	1994
"Prealpes"	"Bornes_Aravis"	8210304	34	57	15	1.37	1995
"Prealpes"	"Bornes_Aravis"	8210304	29	31	14	-1.46	1996
"Prealpes"	"Bornes_Aravis"	8210304	24	31	11	0.79	1997
"Prealpes"	"Bornes_Aravis"	8210304	17	26	11	0.03	1998
"Prealpes"	"Bornes_Aravis"	8210304	28	56	20	0.68	1999
"Prealpes"	"Bornes_Aravis"	8210304	28	47	17	1.73	2000
"Prealpes"	"Bornes_Aravis"	8210304	27	27	9	-1.04	2001
"Prealpes"	"Bornes_Aravis"	8210304	29	43	13	0.71	2002
"Prealpes"	"Bornes_Aravis"	8210304	25	51	15	0.1	2003
"Prealpes"	"Bornes_Aravis"	8210304	31	31	12	-0.09	2004
"Prealpes"	"Bornes_Aravis"	8210304	28	44	16	0.46	2005
"Prealpes"	"Bornes_Aravis"	8210304	39	48	15	-0.93	2006
"Prealpes"	"Bornes_Aravis"	8210304	32	20	10	1.25	2007
"Prealpes"	"Bornes_Aravis"	8210305	5	0	0	0.03	1998
"Prealpes"	"Bornes_Aravis"	8210305	7	6	2	0.68	1999
"Prealpes"	"Bornes_Aravis"	8210305	6	3	2	1.73	2000
"Prealpes"	"Bornes_Aravis"	8210305	5	4	2	-1.04	2001
"Prealpes"	"Bornes_Aravis"	8210305	6	5	1	0.71	2002
"Prealpes"	"Bornes_Aravis"	8210305	3	5	2	0.1	2003
"Prealpes"	"Bornes_Aravis"	8210305	7	9	2	-0.09	2004
"Prealpes"	"Bornes_Aravis"	8210305	6	5	2	0.46	2005
"Prealpes"	"Bornes_Aravis"	8210305	4	2	1	-0.93	2006
"Prealpes"	"Bornes_Aravis"	8210305	1	3	1	1.25	2007
"Prealpes"	"Bauges"	8210404	24	34	10	2.1	1990
"Prealpes"	"Bauges"	8210404	25	47	13	0.62	1991
"Prealpes"	"Bauges"	8210404	30	24	9	1.95	1992
"Prealpes"	"Bauges"	8210404	21	15	5	1.92	1993
"Prealpes"	"Bauges"	8210404	23	42	11	0.87	1994
"Prealpes"	"Bauges"	8210404	24	45	12	1.37	1995
"Prealpes"	"Bauges"	8210404	17	2	2	-1.46	1996
"Prealpes"	"Bauges"	8210404	15	21	4	0.79	1997
"Prealpes"	"Bauges"	8210404	11	18	5	0.03	1998
"Prealpes"	"Bauges"	8210404	14	16	5	0.68	1999
"Prealpes"	"Bauges"	8210404	21	23	7	1.73	2000
"Prealpes"	"Bauges"	8210404	21	8	5	-1.04	2001
"Prealpes"	"Bauges"	8210404	14	14	5	0.71	2002
"Prealpes"	"Bauges"	8210404	13	18	6	0.1	2003
"Prealpes"	"Bauges"	8210404	17	10	4	-0.09	2004
"Prealpes"	"Bauges"	8210404	15	9	4	0.46	2005
"Prealpes"	"Bauges"	8210404	17	4	3	-0.93	2006
"Prealpes"	"Bauges"	8210404	16	5	3	1.25	2007
"Prealpes"	"Chartreuse"	8210508	24	13	7	-1.46	1996
"Prealpes"	"Chartreuse"	8210508	30	37	15	0.79	1997
"Prealpes"	"Chartreuse"	8210508	21	44	14	0.03	1998
"Prealpes"	"Chartreuse"	8210508	20	41	11	0.68	1999
"Prealpes"	"Chartreuse"	8210508	30	45	16	1.73	2000
"Prealpes"	"Chartreuse"	8210508	28	52	13	-1.04	2001
"Prealpes"	"Chartreuse"	8210508	25	54	17	0.71	2002
"Prealpes"	"Chartreuse"	8210508	26	67	21	0.1	2003
"Prealpes"	"Chartreuse"	8210508	22	69	16	-0.09	2004
"Prealpes"	"Chartreuse"	8210508	22	24	8	0.46	2005
"Prealpes"	"Chartreuse"	8210508	23	41	14	-0.93	2006
"Prealpes"	"Chartreuse"	8210508	12	15	6	1.25	2007
"Prealpes"	"Chartreuse"	8210510	4	9	3	2.1	1990
"Prealpes"	"Chartreuse"	8210510	5	9	5	0.62	1991
"Prealpes"	"Chartreuse"	8210510	5	10	2	1.95	1992
"Prealpes"	"Chartreuse"	8210510	4	2	1	1.92	1993
"Prealpes"	"Chartreuse"	8210510	6	12	4	0.87	1994
"Prealpes"	"Chartreuse"	8210510	8	14	4	1.37	1995
"Prealpes"	"Chartreuse"	8210510	5	2	1	-1.46	1996
"Prealpes"	"Chartreuse"	8210510	5	8	4	0.79	1997
"Prealpes"	"Chartreuse"	8210510	7	12	5	0.03	1998
"Prealpes"	"Chartreuse"	8210510	8	11	4	0.68	1999
"Prealpes"	"Chartreuse"	8210510	5	8	4	1.73	2000
"Prealpes"	"Chartreuse"	8210510	3	5	2	-1.04	2001
"Prealpes"	"Chartreuse"	8210510	4	4	2	0.71	2002
"Prealpes"	"Vercors_Monts_du_Matin"	8210604	24	43	14	0.03	1998
"Prealpes"	"Vercors_Monts_du_Matin"	8210604	21	35	11	0.68	1999
"Prealpes"	"Vercors_Monts_du_Matin"	8210604	26	62	19	1.73	2000
"Prealpes"	"Vercors_Monts_du_Matin"	8210604	20	61	17	-1.04	2001
"Prealpes"	"Vercors_Monts_du_Matin"	8210604	33	90	24	0.71	2002
"Prealpes"	"Vercors_Monts_du_Matin"	8210604	23	50	15	0.1	2003
