;species;xcoord;ycoord
17282;TIMLEP;757544.5634;6269922.048
17283;TIMLEP;793209.0209;6290458.392
17284;TIMLEP;792326.2853;6289641.482
17285;TIMLEP;765991.0422;6272265.677
17286;TIMLEP;691254.6987;6189832.448
17287;TIMLEP;690316.1966;6194514.939
17288;TIMLEP;819700.6685;6307900.191
17289;TIMLEP;695648.3653;6198611.074
17290;TIMLEP;766052.0542;6271916.85
17291;TIMLEP;765969.7725;6271671.69
17292;TIMLEP;765943.9287;6272193.164
17293;TIMLEP;765814.6504;6272632.139
17294;TIMLEP;785746.7988;6324957.651
17295;TIMLEP;684783.2163;6185178.92
17296;TIMLEP;791265.8662;6331719.826
17297;TIMLEP;677044.2397;6234593.721
17298;TIMLEP;676828.6029;6234371.779
17299;TIMLEP;714819.0856;6237459.879
17300;TIMLEP;688742.6095;6253460.816
17301;TIMLEP;790076.448;6290615.211
17302;TIMLEP;790743.2634;6293398.244
17303;TIMLEP;790612.9955;6292682.079
17304;TIMLEP;790600.0742;6292672.559
17305;TIMLEP;790300.1018;6292467.128
17306;TIMLEP;790319.309;6292454.064
17307;TIMLEP;790104.8462;6291872.305
17308;TIMLEP;790336.1648;6291783.337
17309;TIMLEP;767715.1409;6272373.209
17310;TIMLEP;767589.3091;6272238.829
17311;TIMLEP;684913.1382;6155968.363
17312;TIMLEP;684995.0202;6155817.104
17313;TIMLEP;685083.8615;6156114.032
17314;TIMLEP;684972.7603;6156264.912
17315;TIMLEP;685063.335;6156601.993
17316;TIMLEP;685068.9578;6156577.506
17317;TIMLEP;685148.3561;6156601.798
17318;TIMLEP;814832.5021;6316614.543
17319;TIMLEP;812980.3545;6317875.967
17320;TIMLEP;803862.9846;6373018.979
17321;TIMLEP;804278.9951;6373790.031
17322;TIMLEP;803871.9834;6373009.018
17323;TIMLEP;805934.0331;6372865.017
17324;TIMLEP;821656.3866;6303443.406
17325;TIMLEP;806913.0995;6297052.35
17326;TIMLEP;814666.9819;6304285.846
17327;TIMLEP;790172.2563;6297793.768
17328;TIMLEP;795505.5072;6298309.38
17329;TIMLEP;814294.0479;6285468.71
17330;TIMLEP;731601.9541;6283307.123
17331;TIMLEP;844571.6916;6323783.391
17332;TIMLEP;733269.7419;6253628.445
17333;TIMLEP;730384.6301;6272111.692
17334;TIMLEP;769379.9611;6290996.051
17335;TIMLEP;776506.1323;6300413.706
17336;TIMLEP;704360.8099;6226325.276
17337;TIMLEP;700965.9917;6155674.706
17338;TIMLEP;670317.5368;6190498.797
17339;TIMLEP;758397.2651;6272748.656
17340;TIMLEP;707239.8926;6153934.017
17341;TIMLEP;642690.9358;6225538.03
17342;TIMLEP;765945.1154;6304215.497
17343;TIMLEP;781771.3452;6291726.537
17344;TIMLEP;773097.6061;6287217.849
17345;TIMLEP;815114.2626;6316363.588
17346;TIMLEP;811748.8486;6316100.494
17347;TIMLEP;756058.7084;6269615.227
17348;TIMLEP;721741.5268;6241255.01
17349;TIMLEP;678937.9238;6177885.199
17350;TIMLEP;681097.1218;6170170.514
17351;TIMLEP;634900.9499;6242833.688
17352;TIMLEP;679609.5008;6207858.672
17353;TIMLEP;679605.4453;6207710.304
17354;TIMLEP;679693.0054;6207850.058
17355;TIMLEP;674232.9365;6232439.106
17356;TIMLEP;677509.3744;6234279.909
17357;TIMLEP;677554.3207;6207280.102
17358;TIMLEP;676983.532;6233683.304
17359;TIMLEP;679855.7942;6203696.502
17360;TIMLEP;700143.0475;6242317.412
17361;TIMLEP;693662.1948;6218188.994
17362;TIMLEP;667817.6381;6203588.023
17363;TIMLEP;723625.1196;6262737.959
17364;TIMLEP;648395.1879;6227776.905
17365;TIMLEP;734225.9429;6266988.792
17366;TIMLEP;715353.1545;6240449.97
17367;TIMLEP;657370.912;6187691.906
17368;TIMLEP;793138.3252;6290013.631
17369;TIMLEP;728706.5867;6283538.977
17370;TIMLEP;741899.1752;6268955.567
17371;TIMLEP;770520.6824;6292113.269
17372;TIMLEP;741220.4275;6286945.497
17373;TIMLEP;742544.9531;6289109.928
17374;TIMLEP;734808.0387;6277474.13
17375;TIMLEP;740729.0981;6293679.917
17376;TIMLEP;742810.6637;6289210.681
17377;TIMLEP;743845.9335;6288738.208
17378;TIMLEP;776311.7878;6293464.57
17379;TIMLEP;745871.3192;6275822.182
17380;TIMLEP;688965.2663;6200357.381
17381;TIMLEP;689008.4751;6199978.009
17382;TIMLEP;785609.9906;6287671.517
17383;TIMLEP;783888.1415;6287715.288
17384;TIMLEP;780973.0529;6286010.4
17385;TIMLEP;687104.0849;6195375.467
17386;TIMLEP;762598.9998;6268710
17387;TIMLEP;697279.1745;6210319.451
17388;TIMLEP;756159.9681;6269378.896
17389;TIMLEP;689430.4282;6188289.637
17390;TIMLEP;814713.5325;6322838.708
17391;TIMLEP;814743.106;6322853.069
17392;TIMLEP;707286.139;6226089.825
17393;TIMLEP;685223.372;6215504.549
17394;TIMLEP;674778.6868;6185035.234
17395;TIMLEP;678962.0279;6191012.388
17396;TIMLEP;685075.7049;6194652.971
17397;TIMLEP;684197.7808;6195591.101
17398;TIMLEP;702875.1701;6201604.539
17399;TIMLEP;727644.8033;6284799.38
17400;TIMLEP;679992.2416;6193079.407
17401;TIMLEP;676538.2666;6200061.065
17402;TIMLEP;711572.1064;6238237.231
17403;TIMLEP;820617.0026;6308370.219
17404;TIMLEP;759543.4714;6301721.327
17405;TIMLEP;797946.7886;6370359.526
17406;TIMLEP;687929.038;6196800.644
17407;TIMLEP;805704.7791;6293349.073
17408;TIMLEP;819834.2328;6309110.781
17409;TIMLEP;820594.8776;6308310.312
17410;TIMLEP;760516.5706;6301536.181
17411;TIMLEP;704050.6484;6257733.29
17412;TIMLEP;715207.2109;6235616.853
17413;TIMLEP;688689.014;6188636.399
17414;TIMLEP;688937.0155;6188472.763
17415;TIMLEP;699948.1895;6161923.2
17416;TIMLEP;683144.3397;6198397.094
17417;TIMLEP;681113.3599;6195862.897
17418;TIMLEP;683379.1556;6153066.099
17419;TIMLEP;667694.7135;6179957.213
17420;TIMLEP;755623.6342;6302669.045
17421;TIMLEP;687074.0031;6167523.603
17422;TIMLEP;762501.1857;6297399.497
17423;TIMLEP;728531.6944;6285726.423
17424;TIMLEP;705570.6851;6221005.66
17425;TIMLEP;701840.3942;6183463.415
17426;TIMLEP;708998.6366;6154885.292
17427;TIMLEP;706287.6425;6158154.282
17428;TIMLEP;706743.4512;6155921.672
17429;TIMLEP;710113.705;6155364.859
17430;TIMLEP;705918.4728;6157025.616
17431;TIMLEP;705805.574;6156888.271
