species;xcoord;ycoord
ANGFRA;687066.5514;6171449.115
ANGFRA;706540.0837;6154926.36
ANGFRA;789513.2757;6365171.91
ANGFRA;669068.9246;6150572.546
ANGFRA;792969.4571;6364570.535
ANGFRA;811172.8065;6317066.931
ANGFRA;662467.3592;6204897.456
ANGFRA;662479.2567;6204889.487
ANGFRA;669148.4123;6171818.191
ANGFRA;654792.3208;6168745.121
ANGFRA;667355.9846;6174803.485
ANGFRA;647839.1103;6165558.978
ANGFRA;648776.0532;6172606.896
ANGFRA;647831.7244;6165554.185
ANGFRA;663658.6355;6173115.215
ANGFRA;646736.3625;6164710.659
ANGFRA;664709.5689;6178508.791
ANGFRA;647713.8124;6165405.978
ANGFRA;647486.6427;6165251.759
ANGFRA;654976.5391;6168758.018
ANGFRA;655839.2735;6198900.641
ANGFRA;673715.6065;6211775.003
ANGFRA;749610.6976;6279100.275
ANGFRA;693844.8916;6192759.362
ANGFRA;701552.2259;6171225.24
ANGFRA;764893.4591;6299205.887
ANGFRA;684600.0002;6158116
ANGFRA;679477.5316;6191257.532
ANGFRA;679438.6682;6191320.757
ANGFRA;684920.4124;6267685.835
ANGFRA;784928.2247;6348303.874
ANGFRA;826805.0273;6345465.093
ANGFRA;711819.2448;6153238.493
ANGFRA;791983.6511;6329996.092
ANGFRA;800816.0176;6368356.046
ANGFRA;797946.7886;6370359.526
ANGFRA;683737.3105;6153712.526
ANGFRA;694830.4445;6192981.084
ANGFRA;687316.7829;6162083.912
ANGFRA;703859.5382;6153641.767
ANGFRA;703128.1204;6153531.387
ANGFRA;633798.6645;6198853.133
ANGFRA;821531.378;6341679.263
ANGFRA;815359.5293;6304368.927
ANGFRA;811076.9364;6301164.071
ANGFRA;799140.7806;6322471.977
ANGFRA;815359.5293;6304368.927
ANGFRA;748052.5394;6314321.2
ANGFRA;798689.6203;6339446.11
ANGFRA;684617.4399;6177172.583
ANGFRA;684660.0018;6174703.303
ANGFRA;679739.1655;6169936.092
ANGFRA;744367.7458;6286103.754
ANGFRA;745249.6646;6289928.128
ANGFRA;751043.6678;6328546.322
ANGFRA;753577.5132;6326822.59
ANGFRA;754377.1933;6327791.821
ANGFRA;754321.0852;6330236.991
ANGFRA;753996.0288;6325514.114
ANGFRA;754143.6062;6325881.119
ANGFRA;753969.0748;6325480.682
ANGFRA;755775.0646;6321325.415
ANGFRA;747493.1137;6315189.185
ANGFRA;753974.5845;6325464.766
ANGFRA;753865.1896;6326416.538
ANGFRA;758812.6758;6320785.19
ANGFRA;754520.7466;6326229.448
ANGFRA;754049.3746;6323109.374
ANGFRA;754141.1791;6325885.024
ANGFRA;753978.8493;6325634.573
ANGFRA;700698.7732;6276401.92
ANGFRA;719979.8031;6279098.347
ANGFRA;679954.7689;6171319.266
ANGFRA;679981.0674;6171325.859
ANGFRA;757460.3739;6318984.699
ANGFRA;826586.0481;6298730.366
ANGFRA;804945.8044;6283016.842
ANGFRA;687317.9255;6225113.534
ANGFRA;814701.9939;6322876.088
ANGFRA;765461.5831;6273324.127
ANGFRA;778735.1318;6331765.346
ANGFRA;666003.5215;6177547.514
ANGFRA;698700.4946;6173909.321
ANGFRA;698770.9288;6173800.212
ANGFRA;702359.6557;6154297.941
ANGFRA;711427.4866;6291502.964
ANGFRA;709723.5289;6292016.67
ANGFRA;709862.3817;6292175.467
ANGFRA;709651.5812;6284982.159
ANGFRA;714812.7363;6289591.248
ANGFRA;716129.0561;6290794.121
ANGFRA;704835.6673;6287643.247
ANGFRA;714131.2894;6287536.621
ANGFRA;714121.5337;6287571.829
ANGFRA;737099.6493;6297077.946
ANGFRA;714387.8854;6287190.124
ANGFRA;714369.7019;6287134.96
ANGFRA;714353.3884;6287502.444
ANGFRA;701099.1627;6279897.863
ANGFRA;714372.8532;6287489.707
ANGFRA;718772.3738;6284228.887
ANGFRA;718777.4014;6284083.535
ANGFRA;717405.1855;6284844.368
ANGFRA;717394.9647;6284864.455
ANGFRA;701752.3343;6279764.976
ANGFRA;726939.5637;6283673.048
ANGFRA;726922.922;6283677.312
ANGFRA;702796.7915;6281014.88
ANGFRA;711271.5601;6283513.266
ANGFRA;722718.7829;6281092.871
ANGFRA;722708.8379;6281097.17
ANGFRA;711491.058;6284050.669
ANGFRA;710705.3676;6285058.859
ANGFRA;724311.281;6281890.164
ANGFRA;724261.6605;6281863.191
ANGFRA;708714.1883;6285143.844
ANGFRA;701611.7078;6279958.543
ANGFRA;708704.8592;6285063.258
ANGFRA;707878.482;6286293.67
ANGFRA;708687.2182;6284983.883
ANGFRA;713553.7574;6289855.161
ANGFRA;713577.3022;6289777.53
ANGFRA;713588.342;6289666.532
ANGFRA;713573.9313;6289732.625
ANGFRA;701248.3154;6285156.01
ANGFRA;697258.4347;6287032.765
ANGFRA;709267.4495;6284439.246
ANGFRA;709310.8513;6284554.78
ANGFRA;709296.1765;6284492.744
ANGFRA;709196.1514;6284363.57
ANGFRA;754659.0255;6286465.652
ANGFRA;709965.006;6285404.178
ANGFRA;709994.7492;6285368.995
ANGFRA;754267.5396;6286675.357
ANGFRA;709989.3988;6285334.09
ANGFRA;709971.9832;6285379.073
ANGFRA;675416.2253;6186285.359
ANGFRA;726887.4154;6283428.659
ANGFRA;709891.981;6285050.098
ANGFRA;709737.3145;6285053.861
ANGFRA;709249.6533;6284970.56
ANGFRA;709159.8717;6285016.441
ANGFRA;710101.7655;6285088.214
ANGFRA;710104.613;6285073.215
ANGFRA;710104.7993;6285108.334
ANGFRA;710092.2332;6285095.978
ANGFRA;720704.9864;6282460.014
ANGFRA;720718.7931;6282458.503
ANGFRA;719844.0354;6282666.214
ANGFRA;720698.5501;6282453.658
ANGFRA;720706.8948;6282444.016
ANGFRA;709522.5902;6286267.021
ANGFRA;709471.5676;6286404.752
ANGFRA;709264.4529;6286721.18
ANGFRA;709379.7368;6286485.411
ANGFRA;647213.6029;6196861.451
ANGFRA;702687.5649;6180259.066
ANGFRA;660936.6514;6171741.299
ANGFRA;752163.4086;6284925.241
ANGFRA;693236.448;6204450.694
ANGFRA;764183.6195;6303094.05
ANGFRA;718385.0222;6240661.314
ANGFRA;703367.6573;6278669.457
ANGFRA;694086.9243;6183049.664
ANGFRA;768482.5245;6291134.895
ANGFRA;800624.8923;6317761.019
ANGFRA;814659.4885;6284909.893
ANGFRA;818808.5349;6295837.133
ANGFRA;814677.2175;6284920.327
ANGFRA;814806.3104;6285208.985
ANGFRA;756408.4917;6308856.538
ANGFRA;767236.3269;6315682.211
ANGFRA;763146.0686;6292245.194
ANGFRA;741628.6844;6305090.618
ANGFRA;768488.485;6291131.939
ANGFRA;685062.9148;6157457.562
ANGFRA;807144.966;6375897.986
ANGFRA;700193.192;6176870.639
ANGFRA;632479.3;6197512.5
ANGFRA;638749.6139;6210339.647
ANGFRA;811651.987;6387941.948
ANGFRA;785535.9405;6274367.848
ANGFRA;828385.3963;6293814.651
ANGFRA;634305.8415;6199476.697
ANGFRA;646034.6214;6195544.055
ANGFRA;646104.7431;6195544.885
ANGFRA;646097.3073;6195553.569
ANGFRA;646077.0405;6195553.11
ANGFRA;785583.9279;6274367.213
ANGFRA;769575.1103;6304835.107
