"ACTR"	"CIMA"	"COCH"	"COCO"	"COFR"	"ESAS"	"FOMA"	"FRPO"	"GEST"	"HYBO"	"MAMA"	"PADO"	"PEAS"	"PHBO"	"PLCU"	"PYJO"	"SATE"	"STPI"	"TEBO"	"TUNI"	"ZOBO"	"ZOOL"
"1"	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"2"	7	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"3"	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0
"4"	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
"5"	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0
"6"	0	0	0	2	0	1	9	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0
"7"	1	0	0	2	0	1	7	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0
"8"	2	0	0	0	0	0	6	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0
"9"	2	0	0	4	0	14	8	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0
"10"	1	0	0	2	0	3	4	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0
"11"	2	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0
"12"	7	0	0	0	0	1	4	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0
"13"	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
"14"	3	0	0	2	1	5	6	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0
"15"	4	0	0	2	0	3	4	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
"16"	3	1	0	0	0	22	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
"17"	2	0	0	0	0	0	6	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
"18"	1	0	0	0	1	8	6	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0
"19"	1	0	0	0	1	2	6	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
"20"	3	0	0	0	1	1	8	0	3	0	0	4	0	0	0	0	2	0	0	0	0	0
"21"	1	0	0	0	0	0	13	0	6	0	0	0	0	0	0	0	1	0	0	0	3	0
"22"	4	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"23"	5	0	0	0	1	4	4	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
"24"	4	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0
"25"	1	0	0	4	0	5	8	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0
"26"	2	0	0	4	0	3	2	0	0	0	0	7	0	0	4	0	1	0	0	0	0	0
"27"	4	0	0	2	1	2	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
"28"	2	0	0	0	0	6	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
"29"	2	0	0	0	1	1	2	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0
"30"	2	0	0	2	0	3	6	0	2	0	0	6	0	0	5	0	2	0	0	0	2	0
"31"	1	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
"32"	4	0	0	0	0	0	8	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0
"33"	0	0	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0
"34"	0	0	0	0	1	0	6	0	0	0	0	4	0	0	14	4	0	0	0	0	1	0
"35"	4	0	0	0	2	3	4	0	2	0	0	4	0	0	0	1	0	0	0	0	2	0
"36"	1	0	0	0	4	1	4	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0
"37"	2	0	0	0	1	0	4	0	1	0	0	7	0	0	0	2	0	0	0	0	5	0
"38"	1	0	0	0	3	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
"39"	5	0	0	0	6	0	6	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0
"40"	10	0	0	0	5	5	4	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0
"41"	4	0	0	6	0	2	4	0	2	0	0	2	0	0	4	0	0	0	0	0	0	0
"42"	1	0	0	4	1	0	4	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0
