ID;X;Y
ID1;354771.303041643;7649569.76603018
ID10;353508.019912932;7649380.77054451
ID100;355770.16148506;7653808.26705547
ID101;355638.327930355;7653458.25176565
ID102;355367.70040942;7653222.46830468
ID103;355743.254099837;7653050.64608939
ID104;355356.139217622;7652826.7015043
ID105;355166.669133709;7652526.68587802
ID106;354035.099226857;7642418.19709131
ID107;353951.506332699;7642018.63768641
ID108;353733.706226526;7642299.15341894
ID109;353403.640463914;7642347.19679676
ID11;352296.088868671;7648009.86671353
ID110;353452.870165994;7641993.26851745
ID111;353389.152581588;7641576.87473611
ID112;353886.206562077;7641547.72521467
ID113;353621.200645677;7641181.63283722
ID114;349413.01095404;7649015.10452408
ID115;349319.029140938;7648559.35825101
ID116;349934.628919721;7648486.19939452
ID117;353265.534676161;7646833.62958032
ID118;353621.579860139;7646957.53557388
ID119;353981.791552551;7647068.81116206
ID12;352648.959676128;7648334.79367157
ID120;354325.890624586;7647130.97159086
ID121;350048.331567744;7643739.48389023
ID122;349794.545661761;7643590.76520037
ID123;349546.168516532;7643418.46843224
ID124;349211.833385572;7643242.37189603
ID125;348919.621296049;7643052.66791148
ID126;348614.299101489;7643089.82415532
ID127;347933.534687135;7643177.48349995
ID128;347639.456268707;7643080.75439223
ID129;347376.03331892;7642913.31539826
ID13;353090.807251512;7648612.85016351
ID130;347112.740468657;7642731.87827535
ID131;346828.29619612;7642673.23537488
ID132;346694.849919907;7642186.02728133
ID133;346166.125886744;7641623.14386383
ID134;345973.002513402;7640993.39781764
ID135;345723.7988197;7640479.10090285
ID136;345314.494914352;7642019.18977519
ID137;345765.750184306;7642418.364026
ID138;346103.966807466;7642606.49919538
ID139;346431.320862981;7642889.52632085
ID14;350931.145766459;7650164.89815398
ID140;346805.16478901;7643010.99656365
ID141;346787.46089812;7643302.81150655
ID142;347158.774853584;7643353.32251029
ID143;347422.081942814;7643338.71324216
ID144;347729.813628367;7643471.56651842
ID145;348282.747322879;7643580.70227976
ID146;348533.126120581;7643754.01825656
ID147;348818.330699774;7643729.67311149
ID148;349170.649927116;7644014.92799134
ID149;349529.939360561;7644088.26388486
ID15;350715.24902528;7649737.58116923
ID150;349908.899541113;7644196.77966395
ID151;348403.030347121;7644841.72573242
ID152;348320.656674756;7645526.90815201
ID153;348454.497319845;7645758.13468927
ID154;349027.636043452;7645738.46324131
ID155;349219.976103623;7645700.25396405
ID156;349286.024884731;7646124.83430178
ID157;354792.941308472;7646942.92892871
ID158;354706.272309184;7647230.09521484
ID159;354633.843125588;7647492.39641141
ID16;350205.547753591;7649541.86755024
ID160;354919.217702857;7647772.01892317
ID161;355233.876988986;7651900.52234701
ID162;355046.355835834;7651958.77790264
ID163;355017.303358813;7652180.48624333
ID164;354936.324631391;7652502.70322027
ID165;354868.992428787;7652755.05385929
ID166;354786.11662845;7653066.25470979
ID167;354891.965868194;7653297.21247964
ID168;355021.236521695;7653590.38080911
ID169;355297.173943149;7654025.89308481
ID17;352104.34846328;7654532.33139126
ID170;355338.693008107;7654401.23946549
ID171;355245.960026671;7654697.35052461
ID172;357635.280754107;7655822.35333256
ID173;359106.796636306;7656182.93273759
ID174;359724.931557904;7656376.6308064
ID175;362030.878990022;7656782.91964547
ID176;359317.695986931;7655542.95942696
ID177;359612.532640023;7655015.75109847
ID178;359986.502694769;7654474.27854627
ID179;359511.154397005;7654624.85832021
ID18;351725.99831323;7655043.51221289
ID180;359174.232392167;7654296.77619504
