"Bird.species"	"Status"	"acronym"
"Acridotheres tristis"	"Exotic"	"ACTR"
"Circus maillardi"	"Native"	"CIMA"
"Collocalia francica"	"Native"	"COFR"
"Coturnix chinensis"	"Exotic"	"COCH"
"Coturnix coturnix"	"Exotic"	"COCO"
"Estrilda astrild"	"Exotic"	"ESAS"
"Foudia madagascariensis"	"Exotic"	"FOMA"
"Francolinus pondicerianus"	"Exotic"	"FRPO"
"Geopelia striata"	"Exotic"	"GEST"
"Hypsipetes borbonicus"	"Native"	"HYBO"
"Margaroperdrix madagascariensis"	"Exotic"	"MAMA"
"Passer domesticus"	"Exotic"	"PADO"
"Perdicula asiatica"	"Exotic"	"PEAS"
"Phedina borbonica"	"Native"	"PHBO"
"Ploceus cucullatus"	"Exotic"	"PLCU"
"Pycnonotus jocosus"	"Exotic"	"PYJO"
"Saxicola tectes"	"Native"	"SATE"
"Streptopelia picturata"	"Exotic"	"STPI"
"Terpsiphone bourbonnensis"	"Native"	"TEBO"
"Turnix nigricollis"	"Exotic"	"TUNI"
"Zosterops borbonicus"	"Native"	"ZOBO"
"Zosterops olivaceus"	"Native"	"ZOOL"
