"code_arbre"	"code_placette"	"code_parcelle"	"MELCH"	"Hmax"	"essence"	"diametre"	"annee"	"date_debourrement"
"1251A"	1251	125	2.342917998	17.4	"PS"	30	2009	125.9400579
"1251B"	1251	125	2.342917998	19.4	"PS"	30	2009	128.4375669
"1251C"	1251	125	2.342917998	19.63333333	"PS"	35	2009	127.852975
"1251D"	1251	125	2.342917998	21.73333333	"PS"	45	2009	126.825186
"1251E"	1251	125	2.342917998	18.5	"PS"	25	2009	126.325057
"1252A"	1252	125	0	16.03333333	"PS"	20	2009	126.1764904
"1252B"	1252	125	0	21.16666667	"PS"	35	2009	127.8899802
"1252C"	1252	125	0	20.43333333	"PS"	35	2009	128.3598435
"1252D"	1252	125	0	20.9	"PS"	40	2009	127.3139897
"1252E"	1252	125	0	20.26666667	"PS"	35	2009	127.2318479
"1253A"	1253	125	0.717948718	18.43333333	"PS"	35	2009	123.8629776
"1253B"	1253	125	0.717948718	17.7	"PS"	30	2009	126.2633323
"1253C"	1253	125	0.717948718	14.56666667	"PS"	25	2009	125.6860073
"1253D"	1253	125	0.717948718	19.1	"PS"	45	2009	128.3491795
"1253E"	1253	125	0.717948718	22.16666667	"PS"	35	2009	129.2496478
"1254A"	1254	125	0	17.63333333	"PS"	25	2009	126.201697
"1254B"	1254	125	0	18.86666667	"PS"	35	2009	125.212798
"1254C"	1254	125	0	18.23333333	"PS"	30	2009	126.19565
"1254D"	1254	125	0	19.86666667	"PS"	30	2009	126.6921118
"1254E"	1254	125	0	20.56666667	"PS"	45	2009	127.7397279
"141E"	141	14	100	28.2	"CH"	70	2009	101.2780849
"142A"	142	14	98.78154917	27.96666667	"CH"	75	2009	102.4089221
"142B"	142	14	98.78154917	25.2	"CH"	45	2009	99.56262128
"142D"	142	14	98.78154917	26.36666667	"CH"	110	2009	101.9062203
"142E"	142	14	98.78154917	27.53333333	"CH"	55	2009	103.9133849
"143A"	143	14	100	26.53333333	"CH"	55	2009	101.2676113
"143C"	143	14	100	25.96666667	"CH"	50	2009	99.57189022
"143E"	143	14	100	28.2	"CH"	50	2009	103.7515452
"144B"	144	14	100	25	"CH"	50	2009	100.1920357
"144C"	144	14	100	19.06666667	"CH"	50	2009	99.07336075
"144D"	144	14	100	21.7	"CH"	60	2009	99.64670613
"144E"	144	14	100	23.5	"CH"	55	2009	99.64670613
"2451A"	2451	245	2.641165756	20.9	"CH"	30	2009	102.6424089
"2451B"	2451	245	2.641165756	16.03333333	"PS"	40	2009	124.6960829
"2451C"	2451	245	2.641165756	21.73333333	"PS"	40	2009	126.5186794
"2451D"	2451	245	2.641165756	15.43333333	"CH"	25	2009	99.4149116
"2452A"	2452	245	19.02136458	21.63333333	"PS"	35	2009	126.3789195
"2452B"	2452	245	19.02136458	21.03333333	"CH"	40	2009	101.1681427
"2452C"	2452	245	19.02136458	21.9	"PS"	50	2009	128.2711996
"2452D"	2452	245	19.02136458	18.56666667	"CH"	35	2009	103.4328449
"2453A"	2453	245	48.51239669	19.33333333	"PS"	45	2009	124.2100637
"2453B"	2453	245	48.51239669	18.83333333	"CH"	30	2009	100.338346
"2453C"	2453	245	48.51239669	21.63333333	"PS"	30	2009	123.5338618
"2453D"	2453	245	48.51239669	20.53333333	"CH"	35	2009	106.5936484
"2454A"	2454	245	43.49408553	21.3	"PS"	35	2009	127.7114317
"2454B"	2454	245	43.49408553	20.1	"CH"	55	2009	101.1527945
"2454C"	2454	245	43.49408553	22.23333333	"PS"	45	2009	126.8626205
"455A"	455	45	45.16129032	24.93333333	"CH"	50	2009	100.12839
"455B"	455	45	45.16129032	31.73333333	"PS"	60	2009	125.1148018
"455C"	455	45	45.16129032	30.9	"PS"	55	2009	127.7097035
"456A"	456	45	47.89156627	23.9	"PS"	40	2009	128.200523
"456B"	456	45	47.89156627	19.93333333	"CH"	55	2009	101.839596
"456C"	456	45	47.89156627	29.3	"PS"	40	2009	129.7518054
