"ID"	"alti_median"	"urbanisation_CORINE"
"ID1007"	318	0
"ID1008"	331.5	0.00179856757554176
"ID1009"	224	0.01162879
"ID1010"	237.5	0.02349183
"ID1011"	144	0.14335604
"ID1012"	141.5	0.03979745
"ID1013"	104.5	0.02022428
"ID1014"	82	0.05550609
"ID1015"	44	0.03248964
"ID1016"	40.5	0.11322852
"ID1017"	40.5	0.03830173
"ID104"	801.5	0.00991389
"ID1048"	384.5	0
"ID1049"	283	0.00808006
"ID1050"	214	0.05998724
"ID1051"	259	0.01562652
"ID1052"	373.5	0
"ID1053"	228.5	0.00511381
"ID1054"	160	0.00588328
"ID1055"	138	0.01042459
"ID1056"	17.5	0.01350811
"ID1057"	1	0.0282730360938339
"ID1089"	491	0.00177801
"ID109"	523	0.0953355582367471
"ID1090"	362	0.01306549
"ID1091"	573	0
"ID1092"	592	0
"ID1093"	393.5	0
"ID1094"	302	0
"ID1095"	216	0.00610659
"ID1096"	65.5	0.03351813
"ID110"	368	0.09669932
"ID111"	224.5	0.03786926
"ID1128"	628.5	0.000790853860894648
"ID1129"	557.5	0.00593253
"ID1130"	381.5	0.05737842
"ID1131"	527	0
"ID1132"	629	0
"ID1133"	477.5	0
"ID1134"	310.5	0.00538033
"ID1135"	336.5	0.00410195
"ID1136"	122.5	0.00965011
"ID1168"	1046	0.00691051201249584
"ID1169"	940	0
"ID1170"	698	0.00955866
"ID1171"	685	0.00544027
"ID1172"	417.5	0.00859266
"ID1173"	301.5	0.00786452
"ID1174"	177	0.00756872
"ID1175"	139.5	0.00889592
"ID1176"	2.5	0.02623446
"ID1210"	1247	0
"ID1211"	997.5	0
"ID1212"	593.5	0.00345242
"ID1213"	313	0.00294353
"ID1214"	153	0.04482131
"ID1215"	57	0.16043909
"ID1216"	11	0.22210552
"ID1249"	1650	0.00782894345406917
"ID1250"	1778	0
"ID1251"	887	0.00720344
"ID1252"	436	0.04571945
"ID1253"	360.5	0.02820086
"ID1254"	135	0.04688107
"ID1255"	73	0.1174794
"ID1256"	17	0.15328755
"ID1287"	2210	0.00267229375344532
"ID1288"	2097	0.00967677
"ID1289"	1724	0.04488144
"ID1290"	1273.5	0
"ID1291"	850	0.0313966
"ID1292"	1253	0.0067235
"ID1293"	774	0
"ID1294"	316.5	0.00842587
"ID1295"	103.5	0.06338763
"ID1296"	39.5	0.10439342
"ID1328"	1367	0.0662440237823472
"ID1329"	1820.5	0.0140599563926002
"ID1330"	2098	0
"ID1331"	1863	0
"ID1332"	1701.5	0
"ID1333"	806.5	0.01686907
"ID1334"	524	0.0577075076761
"ID1335"	340	0.027609517540682
"ID1337"	238.5	0.0260626653443798
"ID1372"	1028	0.00727708560008224
"ID1373"	805	0.00626067315770892
"ID148"	1030.5	0.00341686
"ID149"	672.5	0.02032629
"ID150"	404	0.02428766
"ID151"	223	0.05626462
"ID185"	1055	0.01618677
"ID187"	1043	0.02473857
"ID188"	856	0
"ID189"	611	0.00632992
"ID190"	405	0.00685319
"ID191"	146	0.09457513
"ID192"	173.5	0.09192357
"ID226"	1178	0.00259603
"ID227"	976.5	0.0153816
"ID228"	780.5	0.00529493
"ID229"	633.5	0.01478174
"ID230"	529	0.01810772
"ID231"	145.5	0.22014551
"ID258"	1024	0
"ID259"	1003.5	0.00645176278179163
"ID260"	1218	0
"ID261"	1086	0
"ID262"	1002	0.00502495
"ID263"	1112	0.01402896
"ID265"	1217	0.00528181
"ID266"	1203	0.00035067
"ID267"	809.5	0.01774786
"ID268"	688	0.02077684
"ID269"	576.5	0.01220754
"ID270"	516.5	0.00311222
"ID271"	151	0.13444688
"ID297"	1060.5	0.00522442892529192
"ID298"	1084	0.00322764
