ID;X_L93;Y_L93
ID1007;606791.3642979;6232057.21142297
ID1008;616461.20220283;6231307.97828191
ID1009;626450.876703;6231297.18568999
ID1010;636450.876703;6231297.18568999
ID1011;646450.876703;6231297.18568999
ID1012;656450.876703;6231297.18568999
ID1013;666450.876703;6231297.18568999
ID1014;676450.876703;6231297.18568999
ID1015;686450.876703;6231297.18568999
ID1016;696450.876703;6231297.18568999
ID1017;706450.876703;6231297.18568999
ID104;776450.876703;6461297.18568999
ID1048;617917.81637535;6221445.44118045
ID1049;626450.876703;6221297.18568999
ID1050;636450.876703;6221297.18568999
ID1051;646450.876703;6221297.18568999
ID1052;656450.876703;6221297.18568999
ID1053;666450.876703;6221297.18568999
ID1054;676450.876703;6221297.18568999
ID1055;686450.876703;6221297.18568999
ID1056;696450.876703;6221297.18568999
ID1057;705398.0678426;6221914.80547455
ID1089;626450.876703;6211297.18568999
ID109;827069.30173011;6460727.86268069
ID1090;636450.876703;6211297.18568999
ID1091;646450.876703;6211297.18568999
ID1092;656450.876703;6211297.18568999
ID1093;666450.876703;6211297.18568999
ID1094;676450.876703;6211297.18568999
ID1095;686450.876703;6211297.18568999
ID1096;696450.876703;6211297.18568999
ID110;836450.876703;6461297.18568999
ID111;846450.876703;6461297.18568999
ID1128;618598.49523982;6201774.60373124
ID1129;626450.876703;6201297.18568999
ID1130;636450.876703;6201297.18568999
ID1131;646450.876703;6201297.18568999
ID1132;656450.876703;6201297.18568999
ID1133;666450.876703;6201297.18568999
ID1134;676450.876703;6201297.18568999
ID1135;686450.876703;6201297.18568999
ID1136;696450.876703;6201297.18568999
ID1168;616538.54021512;6191236.38250211
ID1169;626450.876703;6191297.18568999
ID1170;636450.876703;6191297.18568999
ID1171;646450.876703;6191297.18568999
ID1172;656450.876703;6191297.18568999
ID1173;666450.876703;6191297.18568999
ID1174;676450.876703;6191297.18568999
ID1175;686450.876703;6191297.18568999
ID1176;696450.876703;6191297.18568999
ID1210;636494.99992321;6181338.23283477
ID1211;646450.876703;6181297.18568999
ID1212;656450.876703;6181297.18568999
ID1213;666450.876703;6181297.18568999
ID1214;676450.876703;6181297.18568999
ID1215;686450.876703;6181297.18568999
ID1216;696450.876703;6181297.18568999
ID1249;626459.29622677;6170324.74894983
ID1250;636491.28291914;6171258.92883707
ID1251;646450.876703;6171297.18568999
ID1252;656450.876703;6171297.18568999
ID1253;666450.876703;6171297.18568999
ID1254;676450.876703;6171297.18568999
ID1255;686450.876703;6171297.18568999
ID1256;696450.876703;6171297.18568999
ID1287;606607.89517485;6161002.59361561
ID1288;616450.876703;6161297.18568999
ID1289;626450.876703;6161297.18568999
ID1290;636450.876703;6161297.18568999
ID1291;646450.876703;6161297.18568999
ID1292;656450.876703;6161297.18568999
ID1293;666450.876703;6161297.18568999
ID1294;676450.876703;6161297.18568999
ID1295;686450.876703;6161297.18568999
ID1296;696450.876703;6161297.18568999
ID1328;616923.60164014;6151453.8650211
ID1329;626365.31179057;6151398.70875699
ID1330;636264.15398309;6151929.05342609
ID1331;646578.37706446;6151457.43344834
ID1332;656450.876703;6151297.18568999
ID1333;666450.876703;6151297.18568999
ID1334;676386.40415936;6151443.65185347
ID1335;685672.51452436;6152584.57428691
ID1337;706973.00215146;6152493.52509453
ID1372;657482.39564059;6142677.19692875
ID1373;666454.05942108;6142480.37543796
ID148;816450.876703;6451297.18568999
ID149;826450.876703;6451297.18568999
ID150;836450.876703;6451297.18568999
ID151;846450.876703;6451297.18568999
ID185;786450.876703;6441297.18568999
ID187;806450.876703;6441297.18568999
ID188;816450.876703;6441297.18568999
ID189;826450.876703;6441297.18568999
ID190;836450.876703;6441297.18568999
ID191;846450.876703;6441297.18568999
ID192;856450.876703;6441297.18568999
ID226;796450.876703;6431297.18568999
