"HIEVIR"	"LACBIL"	"NATMAU"	"NATNAT"	"PODMUR"	"ZAMLON"	"CORGIR"	"ANGFRA"	"MALMON"	"PODLIO"	"RHISCA"	"VIPASP"	"CHASTR"	"TARMAU"	"TIMLEP"	"PSAALG"	"PSAEDW"	"EMYORB"	"MAULEP"	"CORAUS"	"HEMTUR"	"ZOOVIV"	"LACAGI"	"VIPBER"
"ID1007"	3	8	1	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID1008"	9	10	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID1009"	6	7	2	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID1010"	29	66	1	0	51	1	3	1	2	47	2	3	0	0	0	0	0	0	0	0	0	0	0	0
"ID1011"	0	32	29	13	15	7	9	26	64	38	21	0	4	65	6	0	0	0	0	0	0	0	0	0
"ID1012"	1	19	8	9	3	1	1	0	16	13	6	3	5	6	11	6	0	0	0	0	0	0	0	0
"ID1013"	0	5	0	0	2	1	0	2	8	11	1	3	2	2	1	2	1	0	0	0	0	0	0	0
"ID1014"	0	3	0	1	0	0	0	1	11	19	13	0	7	17	13	32	11	0	0	0	0	0	0	0
"ID1015"	0	12	6	2	0	1	0	2	12	59	9	0	0	24	13	7	4	1	0	0	0	0	0	0
"ID1016"	0	6	5	4	1	0	0	1	23	68	7	0	18	114	18	90	1	1	6	0	0	0	0	0
"ID1017"	0	38	4	1	0	1	3	1	29	75	23	0	7	48	28	35	2	0	1	0	0	0	0	0
"ID104"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ID1048"	0	12	0	1	6	1	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0
"ID1049"	7	11	5	5	8	3	3	2	3	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ID1050"	1	35	12	5	1	7	2	5	15	38	0	1	23	6	8	0	0	0	0	0	0	0	0	0
"ID1051"	0	50	27	27	2	30	18	41	52	32	18	10	6	3	3	0	0	0	0	0	0	0	0	0
"ID1052"	0	16	2	2	1	8	1	12	6	12	0	2	1	0	4	0	0	0	0	0	0	0	0	0
"ID1053"	0	3	6	2	0	2	0	1	17	18	5	2	3	5	3	5	0	2	0	0	0	0	0	0
"ID1054"	0	5	2	0	0	0	0	0	11	11	3	1	0	5	4	9	0	4	0	0	0	0	0	0
"ID1055"	0	6	1	5	0	0	0	1	10	11	7	0	0	13	3	10	2	1	0	0	0	0	0	0
"ID1056"	0	8	13	2	0	1	0	0	23	40	19	0	5	29	28	54	3	1	0	0	0	0	0	0
"ID1057"	0	28	32	3	4	1	1	4	40	90	21	0	11	66	67	51	7	0	0	0	1	0	0	0
"ID1089"	3	4	1	0	2	0	1	1	3	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
"ID109"	1	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID1090"	0	6	4	2	4	1	3	3	7	7	0	0	1	1	1	0	0	0	0	0	0	0	0	0
"ID1091"	0	10	1	3	5	3	0	6	4	3	1	5	1	0	0	0	0	0	0	0	0	0	0	0
"ID1092"	0	25	3	2	3	9	0	10	3	7	0	5	1	0	0	0	0	0	0	2	0	0	0	0
"ID1093"	0	5	2	2	0	2	0	4	6	12	3	2	1	0	1	4	0	0	0	0	0	0	0	0
"ID1094"	0	16	3	1	0	0	1	6	4	20	3	4	0	0	5	36	0	0	0	0	0	0	0	0
"ID1095"	0	0	6	4	0	0	1	1	9	6	5	0	1	14	10	20	1	0	0	0	0	0	0	0
"ID1096"	0	1	8	0	0	0	0	2	26	25	9	0	3	110	26	44	0	0	0	0	0	0	0	0
"ID110"	14	20	4	1	21	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ID111"	0	9	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID1128"	2	0	1	9	6	3	0	2	1	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0
"ID1129"	9	25	2	2	12	12	2	7	6	11	0	6	8	0	2	0	0	0	0	0	0	1	0	0
"ID1130"	0	6	4	2	2	8	2	6	16	7	0	0	2	1	2	0	0	0	1	0	0	0	0	0
"ID1131"	0	19	7	7	8	11	2	8	4	7	0	4	5	0	1	0	0	0	0	2	0	0	0	0
"ID1132"	0	13	3	2	18	5	0	5	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0
"ID1133"	0	10	3	2	0	4	1	4	2	7	0	1	1	0	3	4	0	0	0	0	0	0	0	0
"ID1134"	0	4	72	10	0	0	0	3	64	8	11	0	0	43	37	62	4	0	0	0	0	0	0	0
