"diurnal_act"	"nocturnal_act"	"reprod_mode"	"aquatic_strat"	"rupic_strat"	"terres_strat"	"arbor_strat"	"fosso_strat"	"body_size"	"sexual_matur"	"open_habit"	"semiopen_habit"	"forest_habit"	"mobil_mode"	"clutch_size"	"nb_clutch"	"fish_diet"	"amphi_diet"	"rept_diet"	"mamm_diet"	"bird_diet"	"arthro_diet"	"mollus_diet"	"plant_diet"	"log_body_size"	"log_clutch_size"
"EMYORB"	50	50	"oviparous"	70	0	30	0	0	200	110	75	20	5	"swimmer"	8.5	2	10	10	0	0	0	40	20	20	5.29831736654804	5.29831736654804
"MAULEP"	50	50	"oviparous"	70	0	30	0	0	210	120	80	20	0	"swimmer"	7	2	10	10	0	0	0	40	20	20	5.34710753071747	5.34710753071747
"TARMAU"	20	80	"oviparous"	0	95	0	5	0	77	16	95	5	0	"climber"	1.5	2	0	0	0	0	0	100	0	0	4.34380542185368	4.34380542185368
"HEMTUR"	0	100	"oviparous"	0	100	0	0	0	55.7	11	100	0	0	"climber"	1.5	2	0	0	0	0	0	100	0	0	4.01998014693324	4.01998014693324
"TIMLEP"	100	0	"oviparous"	0	20	80	0	0	174	30	80	20	0	"walker"	14.5	1	0	0	0	0	0	85	0	15	5.15905529921453	5.15905529921453
"LACBIL"	100	0	"oviparous"	0	10	80	10	0	117	24	30	50	20	"walker"	19	1	0	0	0	0	0	95	5	0	4.76217393479776	4.76217393479776
"LACAGI"	100	0	"oviparous"	0	0	100	0	0	80	24	80	20	0	"walker"	9.5	1	0	0	0	0	0	100	0	0	4.38202663467388	4.38202663467388
"ZOOVIV"	100	0	"bimodal"	0	0	100	0	0	55	24	90	10	0	"walker"	5.5	1	0	0	0	0	0	90	10	0	4.00733318523247	4.00733318523247
"PODMUR"	100	0	"oviparous"	0	60	40	0	0	58.9	18	30	50	20	"walker"	6.5	2.5	0	0	0	0	0	85	15	0	4.07584109065754	4.07584109065754
"PODLIO"	100	0	"oviparous"	0	60	40	0	0	45	12	85	10	5	"walker"	3.7	2.5	0	0	0	0	0	100	0	0	3.80666248977032	3.80666248977032
"PSAALG"	100	0	"oviparous"	0	0	80	20	0	64.5	13	15	80	5	"walker"	8	1.5	0	0	0	0	0	100	0	0	4.16666522380173	4.16666522380173
"PSAEDW"	100	0	"oviparous"	0	0	100	0	0	45	12	80	20	0	"walker"	4	2.5	0	0	0	0	0	100	0	0	3.80666248977032	3.80666248977032
"CHASTR"	100	0	"viviparous"	0	0	100	0	0	185	36	80	20	0	"crawler"	6.7	1	0	0	0	0	0	100	0	0	5.22035582507832	5.22035582507832
"ANGFRA"	50	50	"viviparous"	0	0	0	0	100	175	54	20	30	50	"crawler"	11.5	1	0	0	0	0	0	30	70	0	5.16478597392351	5.16478597392351
"HIEVIR"	100	0	"oviparous"	0	0	95	5	0	788	48	70	30	0	"crawler"	9.3	1	0	0	20	70	10	0	0	0	6.66949808985788	6.66949808985788
"ZAMLON"	80	20	"oviparous"	0	0	5	95	0	900	48	10	50	40	"crawler"	9	1	0	0	0	90	10	0	0	0	6.80239476332431	6.80239476332431
"RHISCA"	50	50	"oviparous"	0	20	80	0	0	830	48	45	50	5	"crawler"	9	1	0	0	5	85	5	5	0	0	6.72142570079064	6.72142570079064
"CORAUS"	80	20	"viviparous"	0	30	70	0	0	400	48	60	40	0	"crawler"	9	1	0	0	55	45	0	0	0	0	5.99146454710798	5.99146454710798
"CORGIR"	20	80	"oviparous"	0	30	70	0	0	456	48	35	60	5	"crawler"	7.5	1	0	0	80	5	0	15	0	0	6.12249280951439	6.12249280951439
"NATNAT"	80	20	"oviparous"	70	0	30	0	0	843	48	30	40	30	"crawler"	29	1	0	85	0	0	0	15	0	0	6.73696695800186	6.73696695800186
"NATMAU"	80	20	"oviparous"	80	0	20	0	0	530	54	45	50	5	"crawler"	10	1	20	40	0	0	0	30	10	0	6.27287700654617	6.27287700654617
"MALMON"	100	0	"oviparous"	0	0	100	0	0	777	48	40	60	0	"crawler"	8.1	1	0	0	60	30	10	0	0	0	6.65544035036765	6.65544035036765
"VIPASP"	60	40	"viviparous"	0	0	100	0	0	570	48	30	60	10	"crawler"	7	1	0	0	10	90	0	0	0	0	6.3456363608286	6.3456363608286
"VIPBER"	60	40	"viviparous"	0	0	100	0	0	600	60	30	35	30	"crawler"	7	1	0	0	0	90	10	0	0	0	6.39692965521615	6.39692965521615
