"point"	"massif"	"abondance"	"rs"	"ST"	"Hdom"	"essence"	"sHdom"	"sST"
"PT10"	"Perche_Trappe"	20	11	23	30	"CHE"	0.207676413756915	-0.428506995440088
"PT11"	"Perche_Trappe"	23	14	18.3333333333333	16.6666666666667	"DOU"	-1.34712610557668	-0.975541872946662
"PT115"	"Perche_Trappe"	22	16	27	29.3333333333333	"SP"	0.129936287790231	0.0403800424226862
"PT116"	"Perche_Trappe"	18	14	26.3333333333333	22.6666666666667	"CHE"	-0.64746497187656	-0.0377677972211134
"PT119"	"Perche_Trappe"	27	17	27	33.75	"CHE"	0.64496462231949	0.0403800424226862
"PT12"	"Perche_Trappe"	20	17	13.75	14	"DOU"	-1.6580866094434	-1.51280827049775
"PT120"	"Perche_Trappe"	12	8	27.5	33.5	"CHE"	0.615812075081985	0.098990922155533
"PT122"	"Perche_Trappe"	22	14	30.3333333333333	30.3333333333333	"CHE"	0.246546476740251	0.431119240641661
"PT123"	"Perche_Trappe"	23	13	32.3333333333333	31.3333333333333	"CHE"	0.363156665690271	0.665562759573048
"PT129"	"Perche_Trappe"	21	14	28.3333333333333	33	"CHE"	0.557506980606975	0.196675721710274
"PT13"	"Perche_Trappe"	24	17	11.5	16	"PS"	-1.42486623154336	-1.77655722929556
"PT132"	"Perche_Trappe"	19	10	20.25	21.25	"CHE"	-0.812662739555759	-0.750866833970745
"PT133"	"Perche_Trappe"	19	14	27.25	26	"CHE"	-0.258764342043164	0.0696854822891096
"PT134"	"Perche_Trappe"	22	15	28.75	27	"CHE"	-0.142154153093144	0.24551812148765
"PT135"	"Perche_Trappe"	22	16	28.25	26.5	"CHE"	-0.200459247568154	0.186907241754803
"PT136"	"Perche_Trappe"	18	13	29.6666666666667	26.6666666666667	"CHE"	-0.18102421607648	0.352971400997873
"PT137"	"Perche_Trappe"	21	15	32	27.5	"CHE"	-0.0838490586181344	0.626488839751154
"PT138"	"Perche_Trappe"	16	11	33.5	27.5	"CHE"	-0.0838490586181344	0.802321478949694
"PT139"	"Perche_Trappe"	17	12	29.5	26.5	"CHE"	-0.200459247568154	0.33343444108692
"PT14"	"Perche_Trappe"	23	16	23.6	21	"DOU"	-0.841815286793263	-0.358173939760672
"PT140"	"Perche_Trappe"	19	15	39	30	"CHE"	0.207676413756915	1.44704115601101
"PT141"	"Perche_Trappe"	19	12	39	30	"CHE"	0.207676413756915	1.44704115601101
"PT142"	"Perche_Trappe"	20	13	39	30	"CHE"	0.207676413756915	1.44704115601101
"PT143"	"Perche_Trappe"	22	15	39	30	"CHE"	0.207676413756915	1.44704115601101
"PT15"	"Perche_Trappe"	17	12	21.6666666666667	20.5	"CHE"	-0.900120381268273	-0.584802674727676
"PT16"	"Perche_Trappe"	20	16	15.2	17.6	"CHE"	-1.23828992922333	-1.3428367192725
"PT17"	"Perche_Trappe"	20	13	19.4	28.2	"CHE"	-0.00222192635312057	-0.850505329516585
"PT170"	"Perche_Trappe"	23	14	30	30	"CHE"	0.207676413756915	0.392045320819767
"PT171"	"Perche_Trappe"	19	13	31.3333333333333	33.6666666666667	"CHE"	0.635247106573659	0.548341000107354
"PT172"	"Perche_Trappe"	17	11	28	34	"CHE"	0.674117169556995	0.15760180188838
"PT173"	"Perche_Trappe"	18	12	21	28	"CHE"	-0.0255439641431245	-0.662950514371475
"PT174"	"Perche_Trappe"	13	10	17.3333333333333	24.6666666666667	"CHE"	-0.41424459397652	-1.09276363241236
"PT175"	"Perche_Trappe"	22	19	15.6666666666667	24	"CHE"	-0.491984719943204	-1.28813323152184
"PT176"	"Perche_Trappe"	13	11	15.6666666666667	23.3333333333333	"CHE"	-0.569724845909888	-1.28813323152184
"PT177"	"Perche_Trappe"	20	16	17	26.6666666666667	"CHE"	-0.18102421607648	-1.13183755223425
"PT178"	"Perche_Trappe"	14	9	14.3333333333333	19.6666666666667	"CHE"	-0.997295538726619	-1.44442891080944
"PT180"	"Perche_Trappe"	9	6	28.3333333333333	24.3333333333333	"CHE"	-0.453114656959868	0.196675721710274
"PT181"	"Perche_Trappe"	23	17	29	27.6666666666667	"CHE"	-0.0644140271264605	0.274823561354073
"PT182"	"Perche_Trappe"	21	13	29.6666666666667	24	"CHE"	-0.491984719943204	0.352971400997873
"PT185"	"Perche_Trappe"	19	14	29.75	31	"CHE"	0.324286602706935	0.362739880953344
"PT186"	"Perche_Trappe"	18	15	33.6666666666667	31.3333333333333	"CHE"	0.363156665690271	0.821858438860647
"PT187"	"Perche_Trappe"	20	14	30.6666666666667	30.3333333333333	"DOU"	0.246546476740251	0.470193160463567
"PT188"	"Perche_Trappe"	18	11	31.3333333333333	24.6666666666667	"SP"	-0.41424459397652	0.548341000107354
"PT189"	"Perche_Trappe"	16	12	30.3333333333333	24.3333333333333	"DOU"	-0.453114656959868	0.431119240641661
"PT191"	"Perche_Trappe"	14	10	37	34	"CHE"	0.674117169556995	1.21259763707962
"PT192"	"Perche_Trappe"	19	11	34.3333333333333	30	"CHE"	0.207676413756915	0.900006278504435
